dataset,detector,label_fraction,heldout_typology,boundary_projected_v2,hard_projected_v2,random_feasible_v2
amlnet,lightgbm,1,,0.9777701745998127,0.977919224038276,0.9722704691281164
amlnet,xgboost,1,,0.9602765147651038,0.9627710692169776,0.9732467501072164
transxion,lightgbm,1,,0.2623977403219217,0.262054694316862,0.2677900674370957
transxion,xgboost,1,,0.23611912295148604,0.23533163098060736,0.24055504609148035
