dataset,detector,label_fraction,heldout_typology,adv_no_projection,none,ours
amlnet,graphsage_lite,1,structuring,0.6732508570458892,0.7309697741953887,0.9284034025343963
amlnet,lightgbm,1,structuring,0.5473277016064898,0.5774351779086784,0.5391822800028357
amlnet,topology_lr,1,structuring,0.0022233167738740004,0.0015408200844563335,0.002285012135309667
amlnet,xgboost,1,structuring,0.6420178489478894,0.6454296832139658,0.6516083081582954
