dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,hard_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,smote_repaired_v2,typology_projected_v2
amlnet,lightgbm,1,layering,0.9455214572327076,0.9484540003859594,0.9344446201140679,0.9468628033856211,0.9475742254428507,0.9366962684480848,0.9346226853143607,0.9477774219841011
amlnet,xgboost,1,layering,0.9457523106944112,0.9450141939541487,0.9308176534342694,0.9445350159011253,0.9411124101881072,0.9341942517808299,0.9316800430266549,0.943329638587047
