dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,curriculum_projected_v2,3.4286579813150233,0.42408850491534256,0.0,0.0,0.0,0.0,1.957616119329138,0.0927191842605431,0.0,0.0,0.9454545454545451,0.0
amlnet,feature_noise_repaired_v2,0.4223186980871171,0.16358332145169457,0.0,0.0,0.0,0.0,2.667441235575145,0.0844248596937098,0.0,0.0,0.9454545454545451,0.0
amlnet,feature_noise_v2,2.548187259056969,1.5689605846955386,0.19212121212121167,0.024250397412922012,0.022064304727238603,0.002933264724004474,2.7286950542099175,0.05102586308513576,0.0,0.0,0.753333333333333,0.02425039741292176
amlnet,hard_projected_v2,6.863329144840276,0.9668395702325399,0.0,0.0,0.0,0.0,1.594328406086009,0.060868216245970296,0.0,0.0,0.9454545454545451,0.0
amlnet,mixup_repaired_v2,3.816396208661324,0.4875086801350928,0.0,0.0,0.0,0.0,2.34900232001562,0.09434142569708842,0.0,0.0,0.9454545454545451,0.0
amlnet,mixup_v2,2.507037541926926,1.834064935908043,0.0,0.0,0.0,0.0,2.34900232001562,0.09434142569708837,0.0,0.0,0.9454545454545451,0.0
amlnet,none,,,,,,,,,,,,
amlnet,plausible_hard_projected_v2,4.902863396353263,0.528884265712657,0.0,0.0,0.0,0.0,1.5172229213143158,0.08626251348918361,0.0,0.0,0.9454545454545451,0.0
amlnet,plausible_typology_projected_v2,5.930762610023766,0.5412721087209115,0.0,0.0,0.0,0.0,1.519043119017839,0.08857600140151116,0.0,0.0,0.9454545454545451,0.0
amlnet,random_feasible_v2,0.03246116793909396,0.03703179346832573,0.0,0.0,0.0,0.0,2.7482246808077293,0.07359306782075892,0.0,0.0,0.9454545454545451,0.0
amlnet,smote_repaired_v2,0.17485772045046177,0.09612176344674,0.0,0.0,0.0,0.0,2.8634361946080946,0.0505034113015064,0.0,0.0,0.9454545454545451,0.0
amlnet,smote_v2,0.12127546209767917,0.11753038910963742,0.0,0.0,0.0,0.0,2.8634361946080946,0.050503411301506373,0.0,0.0,0.9454545454545451,0.0
amlnet,typology_projected_v2,7.826580072095737,0.6359739855866452,0.0,0.0,0.0,0.0,1.558847703560961,0.06851439922846905,0.0,0.0,0.9454545454545451,0.0
