dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,feature_noise_repaired_v2,feature_noise_v2,hard_projected_v2,mixup_repaired_v2,mixup_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,smote_repaired_v2,smote_v2,typology_projected_v2
amlnet,lightgbm,1,layering,0.9452740476022798,0.9282723118044969,0.9331114651177593,0.945757446561678,0.934482423737969,0.9435958061863717,0.9318258327593612,0.9467820043141575,0.9460540161496306,0.9342210672234248,0.9320499167593559,0.9300068254656872,0.9473495783548327
amlnet,xgboost,1,layering,0.9455723284840577,0.928012305892082,0.9288604479484786,0.9450855848975479,0.9333066963097929,0.9408300616547605,0.9274052506621885,0.9452190189252387,0.9408544128960283,0.9316865230968082,0.9297754644627609,0.9293593279379939,0.9418684226371801
