acceptance_rate,augmentation,categorical_fractionality_rate,dataset,detector,detector_hardness,edit_distance,eval_subset,generated,heldout_train_positives,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,negative_feature_rate,profile_drift,rho,seed,temporal_violation_rate
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,3,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,2,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,0,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,1,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,4,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,5,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,6,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,7,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,8,
,none,,amlnet,lightgbm,,,all,0,0,layering,1,,,,,,0.75,9,
0.7272727272727271,feature_noise_v2,0.49318181818181805,amlnet,lightgbm,3.953914522475333,5585.001694385949,all,165,0,layering,1,0.218181818181818,0.023318900241420002,0.013341972226761001,0.277777777777777,2.761041842287341,0.75,0,0.0
0.7878787878787871,feature_noise_v2,0.49318181818181805,amlnet,lightgbm,4.203396198294382,5084.142815494724,all,165,0,layering,1,0.157575757575757,0.017089087331653003,0.010273501595053,0.28282828282828204,2.8387783880077953,0.75,1,0.0
0.7272727272727271,feature_noise_v2,0.49191919191919103,amlnet,lightgbm,3.684476980649068,5493.911075561788,all,165,0,layering,1,0.218181818181818,0.020585290293975003,0.013830772029299,0.28225108225108203,2.687502870992102,0.75,2,0.0
0.7636363636363631,feature_noise_v2,0.5050505050505051,amlnet,lightgbm,4.082000026801615,5322.370385149186,all,165,0,layering,1,0.18181818181818102,0.021678104523472002,0.010241184515808001,0.284704184704184,2.707733208231049,0.75,3,0.0
0.7878787878787871,feature_noise_v2,0.49696969696969606,amlnet,lightgbm,3.87913939896628,5189.488974298941,all,165,0,layering,1,0.157575757575757,0.019360426946838,0.010395353043291,0.27229437229437203,2.7575130798121013,0.75,4,0.0
0.7333333333333331,feature_noise_v2,0.49898989898989904,amlnet,lightgbm,4.107747656915041,5846.5433165131035,all,165,0,layering,1,0.21212121212121202,0.021542631582491003,0.011711075280797002,0.278354978354978,2.697607827959378,0.75,5,0.0
0.745454545454545,feature_noise_v2,0.513636363636363,amlnet,lightgbm,4.184513004173128,5359.593932622057,all,165,0,layering,1,0.2,0.021821101987367003,0.012851778312164,0.273593073593073,2.771367104495223,0.75,6,0.0
0.7212121212121211,feature_noise_v2,0.49217171717171704,amlnet,lightgbm,3.959934962429505,5289.685138138852,all,165,0,layering,1,0.22424242424242402,0.027735666301532003,0.013604740710647002,0.28095238095238,2.654283297603866,0.75,7,0.0
0.7636363636363631,feature_noise_v2,0.5068181818181811,amlnet,lightgbm,3.963851211014791,5606.55837942578,all,165,0,layering,1,0.18181818181818102,0.025255448148415002,0.010775693130688001,0.275180375180375,2.677761537244212,0.75,8,0.0
0.7696969696969691,feature_noise_v2,0.49545454545454504,amlnet,lightgbm,4.600111315143533,5416.698191863593,all,165,0,layering,1,0.175757575757575,0.023562101332239002,0.010941969673010001,0.27994227994227905,2.695551526901973,0.75,9,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.437138031157046,0.08312906368261401,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.754489180549107,0.75,0,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.459773282735835,1.389703973157661,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.625609320509951,0.75,1,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.45100796965042106,3.967932279327088,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.597024267843657,0.75,2,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.469195146021033,2.173485693473141,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.684369788914909,0.75,3,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.41093578443827605,0.101357875023227,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.720927122622703,0.75,4,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.251124871753139,0.083289853564268,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.757035162713921,0.75,5,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.43966073079280105,0.10186965879165201,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.737672526883957,0.75,6,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.496867862534265,0.09429870188581901,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.666047234764885,0.75,7,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.9395798085507311,6.831963578733177,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.53152821951107,0.75,8,0.0
0.9454545454545451,smote_v2,0.089898989898989,amlnet,lightgbm,0.247240268999374,0.32937809753803404,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.853794285454808,0.75,1,0.0
0.9454545454545451,feature_noise_repaired_v2,0.0,amlnet,lightgbm,0.464430706573746,6.652435758754227,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.562492980129477,0.75,9,0.0
0.9454545454545451,smote_v2,0.10303030303030301,amlnet,lightgbm,0.249162058670396,0.33993864261682605,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.953142789257014,0.75,0,0.0
0.9454545454545451,smote_v2,0.092929292929292,amlnet,lightgbm,0.144156168924224,0.325571266843034,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.8392630608887752,0.75,2,0.0
0.9454545454545451,smote_v2,0.09090909090909001,amlnet,lightgbm,0.18903302944727302,0.309716119142659,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.83686567791011,0.75,4,0.0
0.9454545454545451,smote_v2,0.106565656565656,amlnet,lightgbm,0.15230799894023,0.33504516821172403,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.901802648515578,0.75,3,0.0
0.9454545454545451,smote_v2,0.097474747474747,amlnet,lightgbm,0.25584104659350804,0.36425522237836405,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.797869303826948,0.75,5,0.0
0.9454545454545451,smote_v2,0.09595959595959501,amlnet,lightgbm,0.18012199035643,0.31115649812835705,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.85922980120477,0.75,6,0.0
0.9454545454545451,smote_v2,0.092929292929292,amlnet,lightgbm,0.36864286026756005,0.347634238315123,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.803370461657911,0.75,8,0.0
0.9454545454545451,smote_v2,0.1,amlnet,lightgbm,0.28137739531834605,0.342335473837867,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.852846134742239,0.75,7,0.0
0.9454545454545451,smote_v2,0.109090909090909,amlnet,lightgbm,0.188732938333142,0.329294619802594,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.936177782622795,0.75,9,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.354399063443113,0.34103723710155304,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.953142789257014,0.75,0,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.286935605893471,0.33044173007689703,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.853794285454808,0.75,1,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.09631371744559301,0.317640668683564,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.8392630608887752,0.75,2,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.29616621793388603,0.35164893838953304,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.901802648515578,0.75,3,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.140984150781893,0.306679313668825,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.83686567791011,0.75,4,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.127409119163777,0.361223231711062,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.797869303826948,0.75,5,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.15259780437900902,0.306963035060612,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.85922980120477,0.75,6,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.312770562746229,0.338167422844384,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.852846134742239,0.75,7,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.24168257607951302,0.34410870636495605,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.803370461657911,0.75,8,0.0
0.9454545454545451,smote_repaired_v2,0.0,amlnet,lightgbm,0.319655172366099,0.337077042530739,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.936177782622795,0.75,9,0.0
0.9454545454545451,mixup_v2,0.18080808080808,amlnet,lightgbm,3.9387664192937093,0.5209481283282721,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.427607611725618,0.75,0,0.0
0.9454545454545451,mixup_v2,0.184848484848484,amlnet,lightgbm,5.568771427932121,0.45965822250638505,all,165,0,layering,1,0.0,0.0,0.0,0.0,2.418489380017763,0.75,1,0.0
