dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,hard_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,typology_projected_v2
amlnet,lightgbm,1,layering,0.9452740476022798,0.945757446561678,0.9318258327593612,0.9467820043141575,0.9460540161496306,0.9342210672234248,0.9473495783548327
amlnet,xgboost,1,layering,0.9455723284840577,0.9450855848975479,0.9274052506621885,0.9452190189252387,0.9408544128960283,0.9316865230968082,0.9418684226371801
