augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.254075017878796,0.947784037825482,0.004965900920076,transxion,lightgbm,0.010604273778611001,0.26280436607892504,,1,0.33363346979936903,0.16209218021750302,0.365853658536585,0.691796008869179,0.7372505543237251,1,0,902,2960,100000,27.629624605178833,0.31290365887785604,0.9452380828872331,0.0044102356650250005,0.009738736638056,0.28084907860975,0.362720436666194,779,0.17160775370581502,0.37997432605905,0.7753530166880611,0.8048780487804871
ours,0.24132641673116803,0.943848256173866,0.005077419690394,transxion,lightgbm,0.010807780700972,0.259842519685039,,1,0.331488684040244,0.15978593272171202,0.351441241685144,0.6895787139689571,0.7350332594235031,1,0,902,5920,102960,29.60821771621704,0.303153964360927,0.944212330329638,0.004515994015928,0.009938291012636,0.275132275132275,0.357221285616782,779,0.167600896860986,0.39281129653401803,0.7702182284980741,0.7997432605905
none,0.108471299161129,0.891113275959565,0.04920978321439701,transxion,graphsage_lite,0.13927119871399102,0.038051044083526005,,1,0.11338412882959902,0.019536601346119002,0.13636363636363602,0.60310421286031,0.646341463414634,1,0,902,2960,100000,22.37662410736084,0.10950028713951201,0.90920801086957,0.047756174890694,0.13216043320595902,0.034511808964936004,0.110766842595859,779,0.017655451194863,0.137355584082156,0.59563543003851,0.658536585365853
ours,0.093807795957349,0.8770264147480801,0.042289768292798006,transxion,graphsage_lite,0.109266682771488,0.040691370623126,,1,0.11611444972804501,0.020948253217756,0.12638580931263801,0.543237250554323,0.6086474501108641,1,0,902,5920,102960,19.66768527030945,0.08936572251879801,0.8985398573288761,0.056917414900853,0.13284315041111502,0.025999206803860003,0.093940502951116,779,0.013226623624094,0.12323491655969102,0.5134788189987161,0.598202824133504
none,0.9738284866513001,0.9993945839929391,0.00040564906962100005,amlnet,lightgbm,0.00042970466786000004,0.8911564625850341,,1,0.8931553243263921,0.832627118644067,0.9463414634146341,0.9853658536585361,0.990243902439024,1,0,410,945,100000,11.423644781112671,0.9488368602471761,0.9985189764136111,0.00039678994685200006,0.00040653237687600006,0.8811881188118811,0.8814992307920091,390,0.851674641148325,0.894871794871794,0.9692307692307691,0.9692307692307691
ours,0.9744046935303101,0.999357958000028,0.000397295284756,amlnet,lightgbm,0.00041771037471900003,0.8931818181818181,,1,0.8950581081758441,0.836170212765957,0.9463414634146341,0.98780487804878,0.98780487804878,1,0,410,1890,100945,10.719147205352783,0.9472161413147261,0.9983713818237161,0.000401640533109,0.000400671954471,0.881693648816936,0.8818387092865341,390,0.8571428571428571,0.894871794871794,0.9692307692307691,0.9692307692307691
none,0.9590539254683661,0.999289312281979,0.009776604977177,amlnet,graphsage_lite,0.023789044878012002,0.207905544147843,,1,0.33629556002778205,0.11617900172117,0.919512195121951,0.9756097560975611,0.9829268292682921,1,0,410,945,100000,26.31479573249817,0.936350254151269,0.9991662696409891,0.008301028889148,0.021127569753994,0.234107579462102,0.359097588975819,390,0.13289382373351802,0.866666666666666,0.9743589743589741,0.9820512820512821
ours,0.9601504039998351,0.9993734467155121,0.012118123144950001,amlnet,graphsage_lite,0.025293611343408,0.170418682937092,,1,0.30067612033344704,0.093253511397651,0.917073170731707,0.9756097560975611,0.98780487804878,1,0,410,1890,100945,22.44667959213257,0.931537295989413,0.999216398550632,0.010989437317073001,0.023270818102528002,0.17924309263988802,0.30970491862826205,390,0.09854480469747201,0.866666666666666,0.9717948717948711,0.9820512820512821
