dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,hard_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,smote_repaired_v2,typology_projected_v2
amlnet,lightgbm,1,layering,0.9431365618813414,0.9461103808201354,0.9318424329551804,0.9444540681268079,0.9454178394656804,0.9345656778900215,0.9333430125443094,0.9453372146692827
amlnet,xgboost,1,layering,0.9448664006934548,0.9455429011027066,0.9284755339843282,0.9457443551037201,0.9431616364757875,0.9308154827081564,0.9287644052326192,0.9430969955292128
