augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr,run_name,shots,eval_subset,heldout_train_positives
none,0.933185991860554,0.996988477787524,0.000273374043016,8,amlnet,lightgbm,0.000280829252208,0.905933429811866,layering,1,0.905830736010924,0.915204678362573,0.89971346704871,0.945558739255014,0.951289398280802,0.75,2,349,220,653378,11.37176752090454,0.874956358940969,0.9932239643017332,0.000308761595615,0.000313784822378,0.8747731397459161,0.8770530867116451,296,0.945098039215686,0.824324324324324,0.9087837837837832,0.93581081081081,cikm_v4_heldout_layering_10seed,0,,
none,0.9312609563463332,0.9958302329294,0.00028688799152,8,amlnet,lightgbm,0.00029086808264,0.9007194244604311,layering,1,0.9005693157479491,0.9046242774566472,0.896848137535816,0.94269340974212,0.948424068767908,0.75,0,349,220,653378,12.83420991897583,0.8741803091922211,0.9912859727663372,0.00031901352768,0.000331623237418,0.868468468468468,0.8702424727605631,296,0.93050193050193,0.831081081081081,0.9087837837837832,0.932432432432432,cikm_v4_heldout_layering_10seed,0,,
none,0.9316332539009872,0.996403265916074,0.000289456702665,8,amlnet,lightgbm,0.000306694806338,0.9033189033189032,layering,1,0.90318856215543,0.909883720930232,0.896848137535816,0.945558739255014,0.954154727793696,0.75,3,349,220,653378,12.81247329711914,0.8716372745138251,0.99054529352918,0.000324097492161,0.000326313156754,0.868468468468468,0.8702424727605631,296,0.93050193050193,0.8277027027027021,0.9087837837837832,0.939189189189189,cikm_v4_heldout_layering_10seed,0,,
none,0.9293978458638792,0.995837342764837,0.000280164515574,8,amlnet,lightgbm,0.000299600974097,0.8994252873563211,layering,1,0.899268186998849,0.902017291066282,0.896848137535816,0.948424068767908,0.951289398280802,0.75,1,349,220,653378,12.851354598999023,0.86897389098022,0.989990558285859,0.000313724552675,0.000320793955956,0.8731884057971011,0.8753354867092571,296,0.94140625,0.8277027027027021,0.912162162162162,0.929054054054054,cikm_v4_heldout_layering_10seed,0,,
none,0.931702650320354,0.9967801266933172,0.000278987639206,8,amlnet,lightgbm,0.000293723772939,0.902298850574712,layering,1,0.902146357139542,0.9048991354466852,0.89971346704871,0.945558739255014,0.951289398280802,0.75,4,349,220,653378,12.65735125541687,0.8709624012442041,0.992462182229646,0.000312560283967,0.000320831744131,0.872072072072072,0.8738587156901411,296,0.934362934362934,0.824324324324324,0.9087837837837832,0.939189189189189,cikm_v4_heldout_layering_10seed,0,,
none,0.933773155122756,0.9974530199519752,0.000280427044901,8,amlnet,lightgbm,0.00029436501729,0.9046242774566472,layering,1,0.9045067622737272,0.912536443148688,0.89971346704871,0.948424068767908,0.954154727793696,0.75,6,349,220,653378,12.680315256118774,0.8733919448705311,0.993241846218496,0.000312650251811,0.000322758353461,0.872072072072072,0.8738587156901411,296,0.934362934362934,0.831081081081081,0.912162162162162,0.9425675675675672,cikm_v4_heldout_layering_10seed,0,,
none,0.933740088868652,0.996965732897307,0.000281964478742,8,amlnet,lightgbm,0.000296882509012,0.9048991354466852,layering,1,0.904762581136914,0.9101449275362312,0.89971346704871,0.948424068767908,0.951289398280802,0.75,5,349,220,653378,12.985600233078005,0.8765074505927251,0.992389925005228,0.000314281599528,0.000320969722643,0.873646209386281,0.8755535123914511,296,0.9379844961240312,0.831081081081081,0.91554054054054,0.945945945945945,cikm_v4_heldout_layering_10seed,0,,
none,0.9302905493197,0.997165585104894,0.000296232373756,8,amlnet,lightgbm,0.000306900957332,0.901734104046242,layering,1,0.9016118850486092,0.909620991253644,0.896848137535816,0.948424068767908,0.954154727793696,0.75,7,349,220,653378,13.583354949951172,0.873027166319668,0.993927979400528,0.000318172244691,0.000326666734595,0.8711433756805801,0.873408624939028,296,0.9411764705882352,0.824324324324324,0.91554054054054,0.9425675675675672,cikm_v4_heldout_layering_10seed,0,,
none,0.931292325717202,0.997064342364909,0.000294437979057,8,amlnet,lightgbm,0.000314318455497,0.89971346704871,layering,1,0.8995526399378541,0.89971346704871,0.89971346704871,0.948424068767908,0.951289398280802,0.75,8,349,220,653378,13.396344184875488,0.871317358726126,0.992799455048586,0.000324045224594,0.000329315606035,0.8700361010830321,0.87193027633927,296,0.934108527131782,0.824324324324324,0.91554054054054,0.9425675675675672,cikm_v4_heldout_layering_10seed,0,,
none,0.9319815102731932,0.996517668434799,0.000291643839002,8,amlnet,lightgbm,0.000304322613026,0.9007194244604311,layering,1,0.9005693157479491,0.9046242774566472,0.896848137535816,0.94269340974212,0.951289398280802,0.75,9,349,220,653378,13.376144886016846,0.8751857256026211,0.991554605102704,0.000326027337476,0.000333736735512,0.866425992779783,0.868307040287088,296,0.930232558139534,0.824324324324324,0.912162162162162,0.9425675675675672,cikm_v4_heldout_layering_10seed,0,,
