detector,augmentation,seed,time_bucket,auprc,recall_at_1pct_fpr,positives,rows
lightgbm,feature_noise_repaired_v2,4,Q3,0.8243739361137206,0.8902439024390244,82,54493
lightgbm,feature_noise_repaired_v2,4,Q4 latest,0.9814289060820164,0.9846153846153847,195,54494
lightgbm,feature_noise_repaired_v2,5,Q1 earliest,0.6664282811214057,0.8421052631578947,19,54494
lightgbm,feature_noise_repaired_v2,5,Q2,0.9878425819064351,1.0,53,54493
lightgbm,feature_noise_repaired_v2,5,Q3,0.831018544703968,0.9146341463414634,82,54493
lightgbm,feature_noise_repaired_v2,5,Q4 latest,0.9845805675842195,0.9846153846153847,195,54494
lightgbm,feature_noise_repaired_v2,6,Q1 earliest,0.6698063079215871,0.8421052631578947,19,54494
lightgbm,feature_noise_repaired_v2,6,Q2,0.9798665182611555,1.0,53,54493
lightgbm,feature_noise_repaired_v2,6,Q3,0.8233126748834129,0.8902439024390244,82,54493
lightgbm,feature_noise_repaired_v2,6,Q4 latest,0.9845979530586885,0.9846153846153847,195,54494
lightgbm,feature_noise_repaired_v2,7,Q1 earliest,0.6179561538367617,0.7894736842105263,19,54494
lightgbm,feature_noise_repaired_v2,7,Q2,0.9300373777313385,0.9433962264150944,53,54493
lightgbm,feature_noise_repaired_v2,7,Q3,0.8212954297098207,0.926829268292683,82,54493
lightgbm,feature_noise_repaired_v2,7,Q4 latest,0.9750363739020262,0.9743589743589743,195,54494
lightgbm,feature_noise_repaired_v2,8,Q1 earliest,0.6081854323220526,0.7894736842105263,19,54494
lightgbm,feature_noise_repaired_v2,8,Q2,0.9207555746659403,0.9245283018867925,53,54493
lightgbm,feature_noise_repaired_v2,8,Q3,0.7959376517174371,0.8292682926829268,82,54493
lightgbm,feature_noise_repaired_v2,8,Q4 latest,0.974645738003095,0.9743589743589743,195,54494
lightgbm,feature_noise_repaired_v2,9,Q1 earliest,0.6886141327114389,1.0,19,54494
lightgbm,feature_noise_repaired_v2,9,Q2,0.9795149858863319,1.0,53,54493
lightgbm,feature_noise_repaired_v2,9,Q3,0.8428834534830213,0.9634146341463414,82,54493
lightgbm,feature_noise_repaired_v2,9,Q4 latest,0.9848463554016973,0.9897435897435898,195,54494
lightgbm,feature_noise_v2,0,Q1 earliest,0.658389334351032,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,0,Q2,0.9827340424956638,1.0,53,54493
lightgbm,feature_noise_v2,0,Q3,0.8240068357851429,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,0,Q4 latest,0.9843171244247337,0.9846153846153847,195,54494
lightgbm,feature_noise_v2,1,Q1 earliest,0.6792028890689157,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,1,Q2,0.983366756424976,1.0,53,54493
lightgbm,feature_noise_v2,1,Q3,0.818042895327521,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,1,Q4 latest,0.9858555546465199,0.9897435897435898,195,54494
lightgbm,feature_noise_v2,2,Q1 earliest,0.6533531810417799,0.7368421052631579,19,54494
lightgbm,feature_noise_v2,2,Q2,0.9773868508416328,1.0,53,54493
lightgbm,feature_noise_v2,2,Q3,0.8142835343663423,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,2,Q4 latest,0.9853065212925327,0.9897435897435898,195,54494
lightgbm,feature_noise_v2,3,Q1 earliest,0.6845304387431537,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,3,Q2,0.9839257066122631,1.0,53,54493
lightgbm,feature_noise_v2,3,Q3,0.8235932071621853,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,3,Q4 latest,0.985811547632409,0.9897435897435898,195,54494
lightgbm,feature_noise_v2,4,Q1 earliest,0.677412486282834,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,4,Q2,0.980505942733902,1.0,53,54493
lightgbm,feature_noise_v2,4,Q3,0.824330429218484,0.8780487804878049,82,54493
lightgbm,feature_noise_v2,4,Q4 latest,0.9847186439470845,0.9846153846153847,195,54494
lightgbm,feature_noise_v2,5,Q1 earliest,0.653546537978007,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,5,Q2,0.9819606980606324,1.0,53,54493
lightgbm,feature_noise_v2,5,Q3,0.8223721410591134,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,5,Q4 latest,0.9836838387151922,0.9846153846153847,195,54494
lightgbm,feature_noise_v2,6,Q1 earliest,0.6598624724436167,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,6,Q2,0.982885733953454,1.0,53,54493
lightgbm,feature_noise_v2,6,Q3,0.820887944872842,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,6,Q4 latest,0.9857027247202882,0.9897435897435898,195,54494
lightgbm,feature_noise_v2,7,Q1 earliest,0.659512393746795,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,7,Q2,0.9745617007512191,1.0,53,54493
lightgbm,feature_noise_v2,7,Q3,0.8139735766230469,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,7,Q4 latest,0.981148102572483,0.9846153846153847,195,54494
lightgbm,feature_noise_v2,8,Q1 earliest,0.664127869898441,0.7368421052631579,19,54494
lightgbm,feature_noise_v2,8,Q2,0.9825342770612436,1.0,53,54493
lightgbm,feature_noise_v2,8,Q3,0.8287770850469816,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,8,Q4 latest,0.9849253867823203,0.9846153846153847,195,54494
lightgbm,feature_noise_v2,9,Q1 earliest,0.6558434093974477,0.7894736842105263,19,54494
lightgbm,feature_noise_v2,9,Q2,0.9835235666674065,1.0,53,54493
lightgbm,feature_noise_v2,9,Q3,0.8164117528686191,0.8658536585365854,82,54493
lightgbm,feature_noise_v2,9,Q4 latest,0.9858472682041023,0.9897435897435898,195,54494
lightgbm,hard_projected_v2,0,Q1 earliest,0.713096256078773,0.8421052631578947,19,54494
lightgbm,hard_projected_v2,0,Q2,0.9963004595380163,1.0,53,54493
lightgbm,hard_projected_v2,0,Q3,0.8495949977548187,0.8902439024390244,82,54493
lightgbm,hard_projected_v2,0,Q4 latest,0.9847404537821938,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,1,Q1 earliest,0.7318550676040463,0.8421052631578947,19,54494
lightgbm,hard_projected_v2,1,Q2,0.9947596318659435,1.0,53,54493
lightgbm,hard_projected_v2,1,Q3,0.850784003845446,0.8536585365853658,82,54493
lightgbm,hard_projected_v2,1,Q4 latest,0.9856104422525246,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,2,Q1 earliest,0.7695149898790381,0.8947368421052632,19,54494
lightgbm,hard_projected_v2,2,Q2,0.9911091568736331,1.0,53,54493
lightgbm,hard_projected_v2,2,Q3,0.8427487558957827,0.8536585365853658,82,54493
lightgbm,hard_projected_v2,2,Q4 latest,0.9849876479573955,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,3,Q1 earliest,0.7625847537141326,0.8947368421052632,19,54494
lightgbm,hard_projected_v2,3,Q2,0.9979030844819381,1.0,53,54493
lightgbm,hard_projected_v2,3,Q3,0.8573117549603053,0.8658536585365854,82,54493
lightgbm,hard_projected_v2,3,Q4 latest,0.9838805035161151,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,4,Q1 earliest,0.7332794631432357,0.7894736842105263,19,54494
lightgbm,hard_projected_v2,4,Q2,0.9980174562060372,1.0,53,54493
lightgbm,hard_projected_v2,4,Q3,0.849478471432395,0.8536585365853658,82,54493
lightgbm,hard_projected_v2,4,Q4 latest,0.9848604707747153,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,5,Q1 earliest,0.7423335526444186,1.0,19,54494
lightgbm,hard_projected_v2,5,Q2,0.9958905396689961,1.0,53,54493
lightgbm,hard_projected_v2,5,Q3,0.849359736451186,0.9146341463414634,82,54493
lightgbm,hard_projected_v2,5,Q4 latest,0.984231594595674,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,6,Q1 earliest,0.7456488128772406,0.8421052631578947,19,54494
lightgbm,hard_projected_v2,6,Q2,0.999294595414211,1.0,53,54493
lightgbm,hard_projected_v2,6,Q3,0.8464550395611826,0.8536585365853658,82,54493
lightgbm,hard_projected_v2,6,Q4 latest,0.9849722713194349,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,7,Q1 earliest,0.7511873985131023,0.8421052631578947,19,54494
lightgbm,hard_projected_v2,7,Q2,0.9955673709469921,1.0,53,54493
lightgbm,hard_projected_v2,7,Q3,0.8540788748659761,0.8780487804878049,82,54493
lightgbm,hard_projected_v2,7,Q4 latest,0.984933213529064,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,8,Q1 earliest,0.7193317901518287,0.8421052631578947,19,54494
lightgbm,hard_projected_v2,8,Q2,0.9950337375644707,1.0,53,54493
lightgbm,hard_projected_v2,8,Q3,0.8432129977138407,0.8536585365853658,82,54493
lightgbm,hard_projected_v2,8,Q4 latest,0.9847541226694521,0.9846153846153847,195,54494
lightgbm,hard_projected_v2,9,Q1 earliest,0.7501267106129369,0.8421052631578947,19,54494
lightgbm,hard_projected_v2,9,Q2,0.9957226024168041,1.0,53,54493
lightgbm,hard_projected_v2,9,Q3,0.8444218078246003,0.8536585365853658,82,54493
lightgbm,hard_projected_v2,9,Q4 latest,0.9861433306125665,0.9897435897435898,195,54494
lightgbm,mixup_repaired_v2,0,Q1 earliest,0.6721764046242028,0.8947368421052632,19,54494
lightgbm,mixup_repaired_v2,0,Q2,0.9783979747553655,1.0,53,54493
lightgbm,mixup_repaired_v2,0,Q3,0.8249962801067656,0.8780487804878049,82,54493
lightgbm,mixup_repaired_v2,0,Q4 latest,0.9838350062443111,0.9846153846153847,195,54494
lightgbm,mixup_repaired_v2,1,Q1 earliest,0.652873001262489,0.8421052631578947,19,54494
lightgbm,mixup_repaired_v2,1,Q2,0.9761239235127945,1.0,53,54493
