augmentation,ledger_violation_rate,mean_flow_residual,categorical_fractionality_rate,negative_feature_rate,profile_drift,detector_hardness,acceptance_rate
curriculum_projected_v2,0.0,0.0,0.0,0.0,0.5570554658748906,3.5618124425454405,0.9496121297602255
edge_rewire_v2,0.0,0.0,0.0,0.0,1.3003917750641916,0.17828581954153214,0.9496121297602255
feature_noise_repaired_v2,0.0,0.0,0.0,0.0,2.0459861767199135,1.9815807962302323,0.9501376552857509
feature_noise_v2,0.582372446494449,0.3472996374911623,0.4986260931377288,0.35153381212950885,2.0825934299746303,2.43064977424631,0.3912945208960719
hard_projected_v2,0.0,0.0,0.0,0.0,0.5301012290127677,6.214659098154243,0.9496121297602255
mixup_repaired_v2,0.0,0.0,0.0,0.0,1.0822021784548983,1.4797667893035802,0.9496121297602255
mixup_v2,0.00022522522522508336,0.00023188964783308336,0.061420345972531744,0.0,1.0822021784548983,1.2877741386987493,0.9493869045350003
none,,,,,,,
plausible_hard_projected_v2,0.0,0.0,0.0,0.0,0.30189298012225935,5.160553869707345,0.9496121297602255
plausible_typology_projected_v2,0.0,0.0,0.0,0.0,0.29229128401766985,5.706113004408315,0.9496121297602255
random_feasible_v2,0.0,0.0,0.0,0.0,1.3027415791249322,0.03125284628351158,0.9496121297602255
smote_repaired_v2,0.0,0.0,0.0,0.0,1.4600570465719527,0.26520163996007545,0.9496121297602255
smote_v2,0.0,0.0,0.054377649864250165,0.0,1.4600570465719527,0.2771214184829146,0.9496121297602255
typology_projected_v2,0.0,0.0,0.0,0.0,0.5155011280266194,7.0470392719932695,0.9496121297602255
