run_name,heldout_typology,detector,augmentation,auprc,auprc,auprc,auroc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,precision_at_k,ece,ece,ece
,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_v4_heldout_integration_5seed,integration,lightgbm,curriculum_projected_v2,0.00011040695858532859,1.7490613955458996e-05,5,0.7233547474925989,0.04191892420587219,5,0.0,0.0,5,0.0,0.0,5,0.000259229896052,2.2956026143720267e-05,5
cikm_v4_heldout_integration_5seed,integration,lightgbm,hard_projected_v2,0.00011608855350274134,1.71849316388491e-05,5,0.7340526841337867,0.03468203872293393,5,0.0,0.0,5,0.0,0.0,5,0.00037029152035479996,5.598324011913787e-05,5
cikm_v4_heldout_integration_5seed,integration,lightgbm,none,0.0001742692947846,2.6797035478650777e-05,5,0.8133854813767505,0.028169467568610777,5,0.0,0.0,5,0.0,0.0,5,0.0002276254213486,5.618589867048679e-06,5
cikm_v4_heldout_integration_5seed,integration,lightgbm,plausible_hard_projected_v2,0.00013002885088954702,2.8988342208817338e-05,5,0.7606625370034901,0.05268065452475187,5,0.0,0.0,5,0.0,0.0,5,0.0003567657868468,1.9509765224365938e-05,5
cikm_v4_heldout_integration_5seed,integration,lightgbm,plausible_typology_projected_v2,0.0001248775524856804,2.9412862087835762e-05,5,0.7488259444174432,0.06196368844434428,5,0.0,0.0,5,0.0,0.0,5,0.0003649833293168,6.6338693377321865e-06,5
cikm_v4_heldout_integration_5seed,integration,lightgbm,random_feasible_v2,0.000146537534992,2.7072836922289674e-05,5,0.7818309901471301,0.045148510809352116,5,0.0,0.0,5,0.0,0.0,5,0.000236072652501,1.4671064303546914e-05,5
cikm_v4_heldout_integration_5seed,integration,lightgbm,typology_projected_v2,0.0001188186533225721,1.526286162527083e-05,5,0.737865028940043,0.03324945895507246,5,0.0,0.0,5,0.0,0.0,5,0.000396752202796,3.114880602371836e-05,5
cikm_v4_heldout_integration_5seed,integration,xgboost,curriculum_projected_v2,0.0003248393087284,3.535687041018471e-05,5,0.9038682278089516,0.010294254574728146,5,0.0,0.0,5,0.0,0.0,5,0.00042296469802420003,5.601343114461898e-05,5
cikm_v4_heldout_integration_5seed,integration,xgboost,hard_projected_v2,0.0004182693345784,7.920421164085401e-05,5,0.923051508858746,0.017472441549075103,5,0.0,0.0,5,0.0,0.0,5,0.00041016352495099994,6.766660496098427e-05,5
cikm_v4_heldout_integration_5seed,integration,xgboost,none,0.0003008939375394,3.066933355884287e-05,5,0.8931299253302697,0.01313133469596979,5,0.0,0.0,5,0.0,0.0,5,0.0002417896263396,4.746128509650154e-06,5
cikm_v4_heldout_integration_5seed,integration,xgboost,plausible_hard_projected_v2,0.0006574623861942,6.328855289455485e-05,5,0.9537653514779298,0.005043008802469547,5,0.0,0.0,5,0.0,0.0,5,0.0002908749718402,2.924613284112375e-05,5
