baseline,augmentation,dataset,detector,heldout_typology,mean_delta,ci_low,ci_high,n_pairs,win_rate
none,curriculum_projected_v2,all,all,all,-0.03702109876366181,-0.05895221794098916,-0.015089979586334453,60,0.36666666666666664
none,plausible_hard_projected_v2,all,all,all,-0.04021550075385047,-0.0653985628609713,-0.015032438646729637,60,0.35
none,plausible_typology_projected_v2,all,all,all,-0.044373227605608065,-0.067995754956801,-0.02075070025441512,60,0.2833333333333333
none,random_feasible_v2,all,all,all,-0.006507091619976096,-0.019802931686939772,0.00678874844698758,60,0.45
none,typology_projected_v2,all,all,all,-0.045751950474473994,-0.06865683272932345,-0.022847068219624542,60,0.3333333333333333
