acceptance_rate,augmentation,categorical_fractionality_rate,dataset,detector,detector_hardness,edit_distance,eval_subset,generated,heldout_train_positives,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,negative_feature_rate,profile_drift,rho,seed,temporal_violation_rate
,none,,amlnet,lightgbm,,,all,0,5,layering,1,,,,,,0.30000000000000004,0,
0.9411764705882351,smote_repaired_v2,0.0,amlnet,lightgbm,0.008265432577191001,0.295247965174174,all,68,5,layering,1,0.0,0.0,0.0,0.0,1.919475703446452,0.30000000000000004,0,0.0
0.9411764705882351,random_feasible_v2,0.0,amlnet,lightgbm,0.027552797526140003,0.030622804503875,all,68,5,layering,1,0.0,0.0,0.0,0.0,1.774965987221797,0.30000000000000004,0,0.0
