dataset,detector,label_fraction,heldout_typology,boundary_projected_v2,hard_projected_v2,random_feasible_v2
amlnet,lightgbm,1,,0.978843799573042,0.9798304921827251,0.9724789769740944
amlnet,xgboost,1,,0.9730121042813717,0.972980342802242,0.9730935093839964
transxion,lightgbm,1,,0.266404842425143,0.2634801572102017,0.2645063876125843
transxion,xgboost,1,,0.23103313320045002,0.233731653859394,0.24381009112251936
