dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,edge_rewire_v2,feature_noise_repaired_v2,feature_noise_v2,hard_projected_v2,mixup_repaired_v2,mixup_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,smote_repaired_v2,smote_v2,typology_projected_v2
amlnet,lightgbm,1,,0.9734450732899065,0.971863899359481,0.9718443475551432,0.9706417267139065,0.9776701159134021,0.9715854036712154,0.9702800850005024,0.9713560939888867,0.978215419510876,0.9779375119785074,0.9700764929430177,0.9719850995898011,0.972594523121615,0.9766731754194914
amlnet,xgboost,1,,0.971524489726571,0.9734452053547153,0.9750794665271595,0.9731142419506741,0.9679698359244236,0.972647991200586,0.9747032967353048,0.9738463144504973,0.9655866453564217,0.967043364456314,0.9732712610335263,0.9740332872515977,0.9742692342488878,0.9680324770875588
transxion,lightgbm,1,,0.2644062574141417,0.26949425799437265,0.27170411690558166,0.2795246067925467,0.2627994307105457,0.26823279524225735,0.27066646019959967,0.2715902577537644,0.2601260196102773,0.2654219177316517,0.26221200993785904,0.27869725006521334,0.27830326364887203,0.26338893543832204
transxion,xgboost,1,,0.23273124727921135,0.254002404549516,0.25757739242419236,0.25741518297045235,0.23349053810603568,0.24858784568710235,0.257486817220201,0.2494231332621607,0.23505145714760833,0.2377449187063967,0.23950939978861005,0.25849813247508935,0.25585230710542567,0.232068116949005
