dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,typology_projected_v2
amlnet,lightgbm,1,,0.9775836680634331,0.9776554313885254,0.9773189830715207,0.9714277444177181,0.9774358051068298
transxion,lightgbm,1,,0.26628817822681833,0.25646763748717,0.262791589330538,0.26391026391471434,0.260219049993117
