acceptance_rate,augmentation,categorical_fractionality_rate,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,negative_feature_rate,profile_drift,rho,seed,temporal_violation_rate
0.9500000000000001,random_feasible_v2,0,transxion,lightgbm,0.029795782399546004,0.008534655780763001,1480,,1,0,0,0,0,0.520678952131594,0.5,1,0
0.9500000000000001,random_feasible_v2,0,transxion,lightgbm,0.029981903957810002,0.008152665649148001,1480,,1,0,0,0,0,0.5191714989124261,0.5,2,0
0.9500000000000001,random_feasible_v2,0,transxion,lightgbm,0.030647722979064002,0.009613753432531002,1480,,1,0,0,0,0,0.511829633062019,0.5,0,0
0.9500000000000001,plausible_hard_projected_v2,0,transxion,lightgbm,3.9845244992523483,0.09085255349450601,1480,,1,0,0,0,0,0.21831556349435702,0.5,0,0
0.9500000000000001,plausible_hard_projected_v2,0,transxion,lightgbm,4.019670593273332,0.09699189973189801,1480,,1,0,0,0,0,0.212683543839494,0.5,2,0
0.9500000000000001,plausible_hard_projected_v2,0,transxion,lightgbm,3.912681224992066,0.09221475195157401,1480,,1,0,0,0,0,0.20882865628250602,0.5,1,0
0.9500000000000001,curriculum_projected_v2,0,transxion,lightgbm,3.154522952108769,0.147132146174037,1480,,1,0,0,0,0,0.37047487687977604,0.5,1,0
0.9500000000000001,curriculum_projected_v2,0,transxion,lightgbm,3.154173704024002,0.13725776368200102,1480,,1,0,0,0,0,0.386539036562189,0.5,0,0
0.9500000000000001,curriculum_projected_v2,0,transxion,lightgbm,3.205381719921103,0.149887954398976,1480,,1,0,0,0,0,0.379571145757347,0.5,2,0
0.9500000000000001,typology_projected_v2,0,transxion,lightgbm,5.36858645007822,0.17206501404476301,1480,,1,0,0,0,0,0.499308486046993,0.5,0,0
0.9500000000000001,typology_projected_v2,0,transxion,lightgbm,5.295795610953935,0.176223926252841,1480,,1,0,0,0,0,0.47108801541634704,0.5,2,0
0.9500000000000001,typology_projected_v2,0,transxion,lightgbm,5.316516785486825,0.180861967011148,1480,,1,0,0,0,0,0.48047362227586404,0.5,1,0
0.949152542372881,random_feasible_v2,0,amlnet,lightgbm,0.016503635879593002,0.018941739564499002,472,,1,0,0,0,0,2.168344798204064,0.5,0,0
0.949152542372881,random_feasible_v2,0,amlnet,lightgbm,0.036845773304103005,0.015828709710035003,472,,1,0,0,0,0,2.099532706263268,0.5,1,0
0.949152542372881,random_feasible_v2,0,amlnet,lightgbm,0.018126247411837,0.021245955492279003,472,,1,0,0,0,0,2.061604988512422,0.5,2,0
0.9500000000000001,plausible_typology_projected_v2,0,transxion,lightgbm,3.977370561858467,0.090528645366776,1480,,1,0,0,0,0,0.21848951805090702,0.5,0,0
0.949152542372881,plausible_hard_projected_v2,0,amlnet,lightgbm,5.530923627600716,0.15474926569267902,472,,1,0,0,0,0,0.45887348567301606,0.5,0,0
0.949152542372881,plausible_hard_projected_v2,0,amlnet,lightgbm,4.913188547241364,0.154707233931206,472,,1,0,0,0,0,0.400623861453452,0.5,1,0
0.9500000000000001,plausible_typology_projected_v2,0,transxion,lightgbm,3.918678032252312,0.091537037760495,1480,,1,0,0,0,0,0.211062468322005,0.5,1,0
0.9500000000000001,plausible_typology_projected_v2,0,transxion,lightgbm,4.011906485868664,0.09642252455137201,1480,,1,0,0,0,0,0.21308520838562,0.5,2,0
0.949152542372881,plausible_hard_projected_v2,0,amlnet,lightgbm,5.508914350232373,0.142021655137681,472,,1,0,0,0,0,0.48170102961701006,0.5,2,0
0.949152542372881,curriculum_projected_v2,0,amlnet,lightgbm,3.683360967653488,0.219393086139503,472,,1,0,0,0,0,0.9311762916545431,0.5,0,0
0.949152542372881,curriculum_projected_v2,0,amlnet,lightgbm,3.613405124711995,0.23437520545143503,472,,1,0,0,0,0,0.8781333320324931,0.5,1,0
0.949152542372881,curriculum_projected_v2,0,amlnet,lightgbm,3.748431471842156,0.207034178673409,472,,1,0,0,0,0,0.9147398136893191,0.5,2,0
0.949152542372881,typology_projected_v2,0,amlnet,lightgbm,7.126205979685324,0.25599792067480603,472,,1,0,0,0,0,0.7361285770515821,0.5,0,0
0.949152542372881,typology_projected_v2,0,amlnet,lightgbm,6.987856544217852,0.270470273920666,472,,1,0,0,0,0,0.718649870007906,0.5,1,0
0.949152542372881,typology_projected_v2,0,amlnet,lightgbm,7.160445726543671,0.24081606356811003,472,,1,0,0,0,0,0.7302249772201731,0.5,2,0
0.949152542372881,plausible_typology_projected_v2,0,amlnet,lightgbm,6.00011096480183,0.20568359505431602,472,,1,0,0,0,0,0.469590770737065,0.5,0,0
0.949152542372881,plausible_typology_projected_v2,0,amlnet,lightgbm,5.43217252512249,0.20678192727438702,472,,1,0,0,0,0,0.419024264309709,0.5,1,0
0.949152542372881,plausible_typology_projected_v2,0,amlnet,lightgbm,5.854473297937612,0.19245972332698402,472,,1,0,0,0,0,0.49291598007150306,0.5,2,0
