dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,curriculum_projected_v2,1,,0.9775836680634331,0.003353368778280115,0.9995379311955094,0.000188687278566117,0.990243902439024,0.004224514164802256,0.9512195121951214,0.0024390243902434466,0.000249168699709,1.5968671211851498e-05,19.9676612218221,1.1316624197177287
amlnet,lightgbm,plausible_hard_projected_v2,1,,0.9776554313885254,0.0023572639266861025,0.9996282073194078,0.00015680798699037289,0.9918699186991867,0.0028163427765348905,0.951219512195121,0.0,0.0003517471684283333,1.628316413958324e-05,20.118741432825725,1.1952408349556491
amlnet,lightgbm,plausible_typology_projected_v2,1,,0.9773189830715207,0.0017904872094984363,0.9996363812966097,8.781287081464285e-05,0.9910569105691054,0.0028163427765348905,0.9528455284552836,0.0014081713882674292,0.000358719833212,2.654880861645319e-05,20.553714672724407,0.9868063555030696
amlnet,lightgbm,random_feasible_v2,1,,0.9714277444177181,0.0010322615115709083,0.999413647889494,9.257895370282356e-05,0.9869918699186987,0.001408171388267389,0.951219512195121,0.0,0.00026021275576766667,4.6860569723539066e-06,18.89919368426005,0.835007761469836
amlnet,lightgbm,typology_projected_v2,1,,0.9774358051068298,0.0007515148232386831,0.9995751997496994,0.00018907330946052553,0.9926829268292682,0.0,0.9520325203252024,0.0014081713882674453,0.0003681747183333334,4.156628275375927e-05,21.168906768163044,0.283912517394856
transxion,lightgbm,curriculum_projected_v2,1,,0.26628817822681833,0.004397384850217812,0.938009059250624,0.004349462490983986,0.7302291204730227,0.0063040362561835326,0.373983739837398,0.0033869739061023066,0.008325529742762334,0.0002088107680562565,87.0903917948405,5.214304834309268
transxion,lightgbm,plausible_hard_projected_v2,1,,0.25646763748717,0.002129420592173404,0.9359996093261453,0.0011331971495544349,0.7272727272727267,0.00443458980044345,0.36733185513673267,0.008171967622873453,0.008436466864575666,0.00039845118196846127,93.31845601399739,2.766855446490501
transxion,lightgbm,plausible_typology_projected_v2,1,,0.262791589330538,0.004478795939910486,0.9347256900825104,0.001531221360596578,0.7269031781226897,0.007127605883956665,0.37102734663710235,0.0027900348984738507,0.008545835148047335,0.0005071868887002831,89.71482825279236,7.758548831488005
transxion,lightgbm,random_feasible_v2,1,,0.26391026391471434,0.007007239975179638,0.9448362398995994,0.0012238382058587687,0.7302291204730224,0.004615667404581263,0.36807095343680674,0.005080460859152886,0.005706401679425333,4.910872004392448e-05,84.67348599433899,2.3957396600386764
transxion,lightgbm,typology_projected_v2,1,,0.260219049993117,0.005093424857217689,0.9300795911658883,0.0019051760718572606,0.7239467849223944,0.005080460859152986,0.3632668144863264,0.004197271504656686,0.009687668554063,0.00097281259496563,93.12505610783894,2.4202479690003997
