augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,eval_subset,f1,heldout_train_positives,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.921286031042128,0.9987381142806361,0.000427953809843,8,amlnet,lightgbm,0.00047131497354900006,low_history_entity,0.8695652173913041,0,layering,1,0.8700989770489691,0.833333333333333,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,0,11,220,653378,9.804304838180542,0.8922413793103441,0.9987716194968551,0.00019973622773,0.00022078118679900001,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,1.0
none,0.9191919191919191,0.9984359726295211,0.000353643723181,8,amlnet,lightgbm,0.000414092099325,low_history_entity,0.9090909090909091,0,layering,1,0.908895405669599,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,2,11,220,653378,10.734025716781616,0.8931818181818181,0.998845322327044,0.000196592258109,0.00018555318752400002,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,1.0
none,0.9191919191919191,0.9984359726295211,0.000319831823033,8,amlnet,lightgbm,0.00041184370185800006,low_history_entity,0.8695652173913041,0,layering,1,0.8700989770489691,0.833333333333333,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,1,11,220,653378,11.293950080871582,0.8931818181818181,0.998845322327043,0.000202078325058,0.000227813899469,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,1.0
none,0.9203268641470891,0.99861370301253,0.00039820818769900005,8,amlnet,lightgbm,0.00043549483814800003,low_history_entity,0.9090909090909091,0,layering,1,0.908895405669599,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,3,11,220,653378,11.072906255722046,0.8919491525423721,0.998747051886792,0.000202861759025,0.00023160606123800003,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,0.875
none,0.9208556149732621,0.998684795165733,0.00039788271318400004,8,amlnet,lightgbm,0.000459093280887,low_history_entity,0.9090909090909091,0,layering,1,0.908895405669599,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,4,11,220,653378,10.603336334228516,0.8913934426229501,0.9986979166666661,0.000196359561775,0.000189281161598,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,0.875
smote_repaired_v2,0.9208556149732621,0.998684795165733,0.000429154704669,8,amlnet,lightgbm,0.00046450791373700003,low_history_entity,0.9090909090909091,0,layering,1,0.908895405669599,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,2,11,385,653543,10.860109329223633,0.892857142857142,0.9988207547169811,0.000197950264832,0.00021244728529,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,1.0
smote_repaired_v2,0.9368686868686861,0.999555674042477,0.00054781771568,8,amlnet,lightgbm,0.0005591744715820001,low_history_entity,0.8695652173913041,0,layering,1,0.8700989770489691,0.833333333333333,0.9090909090909091,1.0,1.0,0.75,1,11,385,653543,11.487163782119751,0.886235955056179,0.9980100235849051,0.00019627949969,0.00019253942421700002,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,0.875
smote_repaired_v2,0.9231754161331621,0.9989336177019461,0.00038164894776800004,8,amlnet,lightgbm,0.000412089727825,low_history_entity,0.9090909090909091,0,layering,1,0.908895405669599,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,0,11,385,653543,12.640109777450562,0.8812111801242231,0.9962411556603771,0.00019847397904100003,0.00021617775892200002,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,0.875
smote_repaired_v2,0.9231754161331621,0.9989336177019461,0.00043672666145300003,8,amlnet,lightgbm,0.000485780211687,low_history_entity,0.8695652173913041,0,layering,1,0.8700989770489691,0.833333333333333,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,3,11,385,653543,11.573915719985962,0.884615384615384,0.9976415094339621,0.000196279126844,0.000191611482891,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,0.875
smote_repaired_v2,0.927958833619211,0.999253532391362,0.00037152163350300004,8,amlnet,lightgbm,0.00036626405105400005,low_history_entity,0.9090909090909091,0,layering,1,0.908895405669599,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,0.75,4,11,385,653543,10.331077814102173,0.888157894736842,0.9983294025157231,0.00021747443261500003,0.00025980079317800003,0.9333333333333331,0.935322436661655,8,1.0,0.875,0.875,0.875
