run_name,dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auprc,auroc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,precision_at_k,ece,ece,ece,training_seconds,training_seconds,training_seconds
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_final_coldstart_new_pair,amlnet,lightgbm,curriculum_projected_v2,1.0,layering,0.945638183885227,0.005452348081261515,5,0.9939253643267648,0.001983261773080152,5,0.9514285714285711,0.007824607964360051,5,0.9285714285714282,0.0,5,0.000131107471418,3.571423681706859e-06,5,13.529904556274413,0.6501180373972345,5
cikm_final_coldstart_new_pair,amlnet,lightgbm,none,1.0,layering,0.9277654800246811,0.002115598783981062,5,0.9980476447044333,0.000494442620519643,5,0.9542857142857141,0.006388765649999806,5,0.9085714285714284,0.007824607964359395,5,0.0001628816089286,2.6061652486624618e-06,5,11.248183584213256,1.0435333181304016,5
cikm_final_coldstart_new_pair,amlnet,lightgbm,plausible_hard_projected_v2,1.0,layering,0.950995836566408,0.005359569898071921,5,0.9962640257252323,0.0007031183307777116,5,0.9542857142857141,0.0063887656499998354,5,0.9285714285714282,0.0,5,0.0001318602007022,1.284606448249057e-05,5,13.851261520385743,0.4519286848362696,5
cikm_final_coldstart_new_pair,amlnet,lightgbm,plausible_typology_projected_v2,1.0,layering,0.9448211230882325,0.011381003628897319,5,0.9942948224548435,0.0029605827212434055,5,0.9485714285714284,0.01277753129999913,5,0.9285714285714282,0.010101525445521864,5,0.0001303600136996,9.99893772647484e-06,5,12.929111766815186,0.8502997388582236,5
cikm_final_coldstart_new_pair,amlnet,lightgbm,random_feasible_v2,1.0,layering,0.9303922942017019,0.0016291341933329503,5,0.9986747827723039,0.0002280879741452871,5,0.9514285714285711,0.007824607964360034,5,0.9114285714285713,0.0063887656499992595,5,0.0001446283021424,1.7086540931426905e-05,5,12.132289266586303,0.595735760710585,5
cikm_final_coldstart_new_pair,amlnet,lightgbm,smote_repaired_v2,1.0,layering,0.925839170987192,0.0038733933721300192,5,0.9979822625889433,0.00037516878648286033,5,0.9457142857142851,0.006388765649999827,5,0.9,0.0,5,0.0001648747752652,4.898755328268361e-06,5,12.342495441436768,0.7404453260195117,5
cikm_final_coldstart_new_pair,amlnet,lightgbm,typology_projected_v2,1.0,layering,0.9491232285140139,0.004477438752646123,5,0.9940964525177884,0.0020183204002721168,5,0.9571428571428571,0.0,5,0.9314285714285708,0.006388765649999224,5,0.0001212570210186,1.3032350445238599e-05,5,13.755492353439331,0.8893269427478822,5
cikm_final_coldstart_new_pair,amlnet,xgboost,curriculum_projected_v2,1.0,layering,0.9403009886693873,0.009140032372713856,5,0.9945963327859877,0.002681289599023388,5,0.9485714285714281,0.007824607964360013,5,0.9285714285714282,0.0,5,0.0001261379033862,1.0882353173261208e-05,5,19.160548162460326,0.6348415885408851,5
cikm_final_coldstart_new_pair,amlnet,xgboost,none,1.0,layering,0.9225424723555319,0.00141600804566972,5,0.9952764521756974,0.0019816808479368123,5,0.9285714285714282,0.0,5,0.897142857142857,0.00638876564999966,5,0.000165030638916,3.438549628942938e-06,5,18.686490726470947,1.7180956470335758,5
cikm_final_coldstart_new_pair,amlnet,xgboost,plausible_hard_projected_v2,1.0,layering,0.9430420825474032,0.00949440527044917,5,0.9948947642993975,0.0025512527430142087,5,0.9542857142857141,0.006388765649999806,5,0.9314285714285708,0.006388765649999227,5,0.000126441608991,6.6015492157802424e-06,5,19.872208452224733,0.710790030683132,5
cikm_final_coldstart_new_pair,amlnet,xgboost,plausible_typology_projected_v2,1.0,layering,0.9415134043307614,0.011795427356207052,5,0.9919248383620685,0.004041471469056515,5,0.9514285714285711,0.01628822035855937,5,0.9285714285714282,0.0,5,0.00011533830533160001,4.825268089610453e-06,5,19.54567084312439,1.0610634654285531,5
cikm_final_coldstart_new_pair,amlnet,xgboost,random_feasible_v2,1.0,layering,0.9278647609032984,0.0029660298201914974,5,0.9965447112753145,0.0004945772341351432,5,0.9314285714285708,0.0063887656499992335,5,0.9171428571428569,0.0063887656499992595,5,0.0001481376597544,1.6234113030388964e-05,5,18.164711427688598,1.0193851649147414,5
cikm_final_coldstart_new_pair,amlnet,xgboost,smote_repaired_v2,1.0,layering,0.9252467895487919,0.0006651872148710023,5,0.9933567237958398,0.0037688321388101797,5,0.9285714285714282,0.0,5,0.9085714285714284,0.007824607964359371,5,0.000167337916543,5.155144283791698e-06,5,18.445623254776002,1.2364083705139415,5
cikm_final_coldstart_new_pair,amlnet,xgboost,typology_projected_v2,1.0,layering,0.9410737068741574,0.009643579562869549,5,0.9899078065134095,0.00461096604231518,5,0.9514285714285711,0.00782460796436006,5,0.9285714285714282,0.0,5,0.0001123851275186,5.582373627187924e-06,5,19.702150726318358,0.8295483511341099,5
cikm_final_fewshot_layering_1,amlnet,lightgbm,curriculum_projected_v2,1.0,layering,0.9431365618813414,0.0026118543032217865,10,0.994670152022106,0.00164601744547797,10,0.9524355300859595,0.0040969647735486945,10,0.9169054441260739,0.008435301687037173,10,0.0002620909619936,2.1450157680705383e-05,10,15.048386669158935,0.8679975230183938,10
cikm_final_fewshot_layering_1,amlnet,lightgbm,hard_projected_v2,1.0,layering,0.9461103808201352,0.0019400956592452387,10,0.9942886896013714,0.0016658027331352076,10,0.9515759312320913,0.0025088682973378913,10,0.931232091690544,0.006477870088944914,10,0.0002562660892402,1.8563173208703794e-05,10,15.260522770881654,1.2234859255352966,10
cikm_final_fewshot_layering_1,amlnet,lightgbm,none,1.0,layering,0.9318424329551804,0.0010222271911377353,10,0.9967313519055837,0.0004974911964169246,10,0.9515759312320913,0.0025088682973379186,10,0.8982808022922629,0.0015101612512742947,10,0.0002980692944181,5.982923881592807e-06,10,12.591023325920105,1.0959022141237214,10
cikm_final_fewshot_layering_1,amlnet,lightgbm,plausible_hard_projected_v2,1.0,layering,0.9444540681268079,0.003026353987462412,10,0.9944451862957919,0.002268023615012048,10,0.9524355300859595,0.005918599191912052,10,0.9292263610315181,0.008758935257390974,10,0.0002629795233291,1.2082264451818246e-05,10,15.557779908180237,0.8357072648897128,10
cikm_final_fewshot_layering_1,amlnet,lightgbm,plausible_typology_projected_v2,1.0,layering,0.9454178394656804,0.002604686831438833,10,0.9944329205130268,0.001644626967554862,10,0.9515759312320913,0.0034304269333463675,10,0.932664756446991,0.006787330660722071,10,0.0002490775286808,1.7350127636272324e-05,10,15.50186197757721,0.9031920304849888,10
cikm_final_fewshot_layering_1,amlnet,lightgbm,random_feasible_v2,1.0,layering,0.9345656778900215,0.002092384920987682,10,0.9967906354250837,0.0006858643625148217,10,0.9558739255014324,0.0036243870030583368,10,0.905444126074498,0.00540291714373677,10,0.0002791600737247,1.0340918960521158e-05,10,13.289967370033263,0.8061424221750533,10
cikm_final_fewshot_layering_1,amlnet,lightgbm,smote_repaired_v2,1.0,layering,0.9333430125443094,0.0024843151145091933,10,0.9974805172405276,0.0005950418190252893,10,0.95702005730659,0.009358127002037052,10,0.8994269340974206,0.002114225751784014,10,0.0002976931277739,1.1300368742281474e-05,10,13.108732175827026,1.0039719578803932,10
