acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate,run_name,categorical_fractionality_rate,negative_feature_rate,eval_subset,heldout_train_positives
0.95,random_feasible_v2,transxion,random_forest,0.297209967763738,0.010823462050109,2960,,1.0,0.0,0.0,0.0,0.515273337765841,1.0,2,0.0,cikm_v2_main,,,,
0.022972972972972,adv_no_projection_v2,transxion,random_forest,1.734545902218806,0.04066116047963,2960,,1.0,0.977027027027027,0.478557438011058,0.491986224150521,0.766307096079288,1.0,1,0.02,cikm_v2_main,,,,
0.025675675675675,adv_no_projection_v2,transxion,random_forest,1.718505698018646,0.037011098635913,2960,,1.0,0.974324324324324,0.475580370887284,0.481752662702105,0.727907023069707,1.0,2,0.02,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,random_forest,4.448732831975423,0.156414075829187,2960,,1.0,0.0,0.0,0.0,0.478268964583533,1.0,0,0.0,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,random_forest,4.537751607609074,0.154152222212962,2960,,1.0,0.0,0.0,0.0,0.47728864436079,1.0,1,0.0,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,random_forest,4.66484170010162,0.154329458926522,2960,,1.0,0.0,0.0,0.0,0.478612906546044,1.0,2,0.0,cikm_v2_main,,,,
0.95,boundary_projected_v2,transxion,random_forest,4.4463649178818585,0.156060026221252,2960,,1.0,0.0,0.0,0.0,0.474641114295185,1.0,0,0.0,cikm_v2_main,,,,
0.95,boundary_projected_v2,transxion,random_forest,4.536550902533111,0.153610776119637,2960,,1.0,0.0,0.0,0.0,0.476366724182078,1.0,1,0.0,cikm_v2_main,,,,
0.95,boundary_projected_v2,transxion,random_forest,4.6658786016990685,0.153945358314206,2960,,1.0,0.0,0.0,0.0,0.476036772608228,1.0,2,0.0,cikm_v2_main,,,,
,none,transxion,topology_lr,,,0,,1.0,,,,,1.0,0,,cikm_v2_main,,,,
,none,transxion,topology_lr,,,0,,1.0,,,,,1.0,1,,cikm_v2_main,,,,
,none,transxion,topology_lr,,,0,,1.0,,,,,1.0,2,,cikm_v2_main,,,,
0.95,random_feasible_v2,transxion,topology_lr,0.028763401222628,0.008789541905305,2960,,1.0,0.0,0.0,0.0,0.5114984662598251,1.0,0,0.0,cikm_v2_main,,,,
0.95,random_feasible_v2,transxion,topology_lr,0.026499127369084,0.008905332502084,2960,,1.0,0.0,0.0,0.0,0.5160541646744661,1.0,1,0.0,cikm_v2_main,,,,
0.95,random_feasible_v2,transxion,topology_lr,0.030786382606232,0.010823462050109,2960,,1.0,0.0,0.0,0.0,0.515273337765841,1.0,2,0.0,cikm_v2_main,,,,
0.024324324324324,adv_no_projection_v2,transxion,topology_lr,1.187384468356683,0.048561573754573,2960,,1.0,0.975675675675675,0.479636523959431,0.494561464368611,0.7122281422911011,1.0,0,0.02,cikm_v2_main,,,,
0.02331081081081,adv_no_projection_v2,transxion,topology_lr,1.299815141624276,0.047130636219946,2960,,1.0,0.9766891891891892,0.481845507177272,0.499155309096577,0.7342603174753031,1.0,1,0.02,cikm_v2_main,,,,
0.028378378378378,adv_no_projection_v2,transxion,topology_lr,1.368318096712066,0.04818780323826,2960,,1.0,0.971621621621621,0.491643771589621,0.513833327894314,0.7623807799041641,1.0,2,0.02,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,topology_lr,6.300373339706495,0.217713172262031,2960,,1.0,0.0,0.0,0.0,0.490177015217988,1.0,0,0.0,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,topology_lr,6.318869030324024,0.217635112459273,2960,,1.0,0.0,0.0,0.0,0.490562623028002,1.0,1,0.0,cikm_v2_main,,,,
0.95,hard_projected_v2,transxion,topology_lr,6.269987047873813,0.22870801863168,2960,,1.0,0.0,0.0,0.0,0.5017054940859721,1.0,2,0.0,cikm_v2_main,,,,
0.95,boundary_projected_v2,transxion,topology_lr,6.299074532410275,0.21734965282583,2960,,1.0,0.0,0.0,0.0,0.487413266070522,1.0,0,0.0,cikm_v2_main,,,,
0.95,boundary_projected_v2,transxion,topology_lr,6.313799330072812,0.217375594212347,2960,,1.0,0.0,0.0,0.0,0.488633531485712,1.0,1,0.0,cikm_v2_main,,,,
,none,amlnet,lightgbm,,,0,,1.0,,,,,1.0,0,,cikm_v2_main,,,,
0.95,boundary_projected_v2,transxion,topology_lr,6.269144341381626,0.22950836003718,2960,,1.0,0.0,0.0,0.0,0.498818071055998,1.0,2,0.0,cikm_v2_main,,,,
,none,amlnet,lightgbm,,,0,,1.0,,,,,1.0,1,,cikm_v2_main,,,,
,none,amlnet,lightgbm,,,0,,1.0,,,,,1.0,2,,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,lightgbm,0.024952551554927,0.01960494814343,945,,1.0,0.0,0.0,0.0,2.1114740573755,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,lightgbm,0.029600079075299,0.019103296640325,945,,1.0,0.0,0.0,0.0,2.111921036079632,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,lightgbm,0.023726663432939,0.017724469469817,945,,1.0,0.0,0.0,0.0,2.096871027703116,1.0,2,0.0,cikm_v2_main,,,,
0.033862433862433,adv_no_projection_v2,amlnet,lightgbm,3.071146206043837,0.054380386901133,945,,1.0,0.966137566137566,0.452014214998415,0.456133532478207,0.688535667362005,1.0,0,0.02,cikm_v2_main,,,,
0.026455026455026,adv_no_projection_v2,amlnet,lightgbm,2.798345835199497,0.052004897145954,945,,1.0,0.973544973544973,0.453187093471256,0.453944447008827,0.6611866779099721,1.0,1,0.02,cikm_v2_main,,,,
0.04021164021164,adv_no_projection_v2,amlnet,lightgbm,2.866480736206345,0.051750931459195,945,,1.0,0.9597883597883592,0.448192950221043,0.441704197924567,0.68456404272496,1.0,2,0.02,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,lightgbm,9.326667185595689,0.185281987746693,945,,1.0,0.0,0.0,0.0,0.558025156699974,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,lightgbm,9.43745055984036,0.199604838142574,945,,1.0,0.0,0.0,0.0,0.5834744295970741,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,lightgbm,9.134751136966578,0.201334340661991,945,,1.0,0.0,0.0,0.0,0.631466564440876,1.0,2,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,lightgbm,9.27961100558771,0.183264284176076,945,,1.0,0.0,0.0,0.0,0.554929016565462,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,lightgbm,9.374476849916936,0.200735576707049,945,,1.0,0.0,0.0,0.0,0.5986551772135741,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,lightgbm,9.118439513220125,0.200902623576707,945,,1.0,0.0,0.0,0.0,0.637877306817438,1.0,2,0.0,cikm_v2_main,,,,
,none,amlnet,xgboost,,,0,,1.0,,,,,1.0,1,,cikm_v2_main,,,,
,none,amlnet,xgboost,,,0,,1.0,,,,,1.0,0,,cikm_v2_main,,,,
,none,amlnet,xgboost,,,0,,1.0,,,,,1.0,2,,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,xgboost,0.008858696651859,0.01960494814343,945,,1.0,0.0,0.0,0.0,2.1114740573755,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,xgboost,0.013013579099304,0.019103296640325,945,,1.0,0.0,0.0,0.0,2.111921036079632,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,xgboost,0.017031391238442,0.017724469469817,945,,1.0,0.0,0.0,0.0,2.096871027703116,1.0,2,0.0,cikm_v2_main,,,,
0.026455026455026,adv_no_projection_v2,amlnet,xgboost,3.996825101875942,0.039323909886741,945,,1.0,0.973544973544973,0.439077212159474,0.429441485846333,0.5030813426904011,1.0,0,0.02,cikm_v2_main,,,,
