dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,feature_noise_v2,none,plausible_hard_projected_v2,smote_v2,typology_projected_v2
amlnet,lightgbm,1,,0.9720009035988051,0.9731571315003201,0.9720329896301341,0.969675578987318,0.9697604927461551,0.9735782731125421
amlnet,xgboost,1,,0.9744478347462631,0.973687380260095,0.9721702656984641,0.9672197452072661,0.973013206644553,0.9686017872182661
