dataset,heldout_typology,seed,augmentation,generated,nn_distance_to_heldout_positive,nn_distance_to_train_positive,heldout_positive_count,train_positive_count,synthetic_log_amount_mean,synthetic_log_amount_std,synthetic_sender_tx_count_mean,synthetic_receiver_tx_count_mean,synthetic_pair_tx_count_mean,synthetic_sender_total_out_mean,synthetic_receiver_total_in_mean,synthetic_pair_total_amount_mean,heldout_positive_log_amount_mean,heldout_positive_log_amount_std,heldout_positive_sender_tx_count_mean,heldout_positive_receiver_tx_count_mean,heldout_positive_pair_tx_count_mean,heldout_positive_sender_total_out_mean,heldout_positive_receiver_total_in_mean,heldout_positive_pair_total_amount_mean,train_positive_log_amount_mean,train_positive_log_amount_std,train_positive_sender_tx_count_mean,train_positive_receiver_tx_count_mean,train_positive_pair_tx_count_mean,train_positive_sender_total_out_mean,train_positive_receiver_total_in_mean,train_positive_pair_total_amount_mean,detector_hardness,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,edit_distance,categorical_fractionality_rate,negative_feature_rate,temporal_violation_rate,acceptance_rate
amlnet,layering,0,random_feasible_v2,165,1.040314766487025,0.3292649937397589,645,220,9.144958212771847,0.9704302886241184,35.490909576416016,37.84848403930664,1.4484848976135254,29290.08203125,39792.9921875,851.0853271484375,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,0.0003206038545690375,0.0,0.0,0.0,2.6474797082010353,0.02239943405591392,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,0,hard_projected_v2,165,0.7636595643062135,0.628094393838227,645,220,7.147943666064621,0.7934939879309519,38.87461471557617,36.68976593017578,1.735120415687561,37086.515625,40422.74609375,1566.2161865234375,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,9.102272381098947,0.0,0.0,0.0,1.044032839195744,0.37752178075297316,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,0,plausible_hard_projected_v2,165,0.695301471172858,0.4929284281919453,645,220,6.914554739432526,0.5677673575979862,36.820701599121094,26.777809143066406,1.623119592666626,33296.046875,16115.9560546875,1134.3629150390625,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,7.126284897972398,0.0,0.0,0.0,0.8474903023702147,0.27301144009552136,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,0,curriculum_projected_v2,165,0.7663224742772329,0.5209818903311307,645,220,7.471202638450672,0.7851078501720424,32.71625518798828,31.9310359954834,1.7371541261672974,26913.14453125,31795.787109375,589.0497436523438,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,3.997498191217782,0.0,0.0,0.0,1.322109565153837,0.3357251186688867,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,0,typology_projected_v2,165,0.7507047934508332,0.6474307336175356,645,220,7.086941122925065,0.801635955828747,43.06519317626953,37.35008239746094,4.818159580230713,37684.16015625,43276.5078125,1529.9993896484375,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,9.685582328097542,0.0,0.0,0.0,0.9926394118515328,0.44701625466381056,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,0,plausible_typology_projected_v2,165,0.7037429536876534,0.5132358514759635,645,220,6.826657862180662,0.5767499497729554,40.705841064453125,26.91254234313965,5.0348100662231445,32897.7109375,17383.20703125,994.401123046875,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,7.845966902644914,0.0,0.0,0.0,0.7637280924181847,0.3453710444862915,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,1,random_feasible_v2,165,1.509741872302503,0.4872411473930871,645,220,9.024978724372177,0.9773184157659498,34.85454559326172,28.230302810668945,1.1515151262283325,30080.896484375,18409.412109375,693.034912109375,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,0.08347665058452415,0.0,0.0,0.0,2.5790283942883434,0.029947644753493513,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,1,hard_projected_v2,165,0.7862776821499627,0.6076156009879807,645,220,7.24025353639976,0.7558824381908998,39.77279281616211,41.4069938659668,1.0155168771743774,36923.20703125,53319.18359375,1225.962158203125,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,9.123071598995292,0.0,0.0,0.0,1.0975365137285855,0.3857690899322485,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,1,plausible_hard_projected_v2,165,0.7511082469855652,0.5018196908284251,645,220,7.0403666588922675,0.6290965206382091,34.85613250732422,31.50464630126953,1.1231956481933594,33200.390625,30933.384765625,911.2282104492188,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,7.652290679397166,0.0,0.0,0.0,0.8915194879739369,0.28745676205635295,0.0,0.0,0.0,0.9454545454545454
amlnet,layering,1,curriculum_projected_v2,165,0.7319234726868861,0.5613285110872749,645,220,7.680058127281033,0.7790844587792555,39.87751007080078,45.08927536010742,1.2322585582733154,37260.28515625,55578.625,722.5086059570312,8.75843875428417,1.5734572049191338,92.96434020996094,69.16434478759766,5.3751935958862305,94912.234375,15173.140625,3892.300048828125,9.028257569420719,0.9457432853699705,34.91363525390625,33.86818313598633,1.6136363744735718,29885.47265625,28530.123046875,794.8223266601562,3.8286474400805193,0.0,0.0,0.0,1.4508532597114363,0.4052686484582716,0.0,0.0,0.0,0.9454545454545454
