dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,none,plausible_typology_projected_v2,random_feasible_v2,smote_repaired_v2,typology_projected_v2
amlnet,pyg_gat,1,layering,0.665504421645586,0.7050652709146893,0.6119956817111404,0.6933045654382805,0.6991053974266084,0.6292047524022321
amlnet,pyg_sage,1,layering,0.3392438301478064,0.3547552218775217,0.2917401278996757,0.35272647870252505,0.35532020858221564,0.3053366873795797
