acceptance_rate,augmentation,dataset,detector,detector_hardness,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate
,none,transxion,lightgbm,,0,,0.01,,,,,1,0,
,none,transxion,lightgbm,,0,,0.01,,,,,1,1,
,none,transxion,lightgbm,,0,,0.01,,,,,1,2,
,none,transxion,lightgbm,,0,,0.05,,,,,1,0,
,none,transxion,lightgbm,,0,,0.05,,,,,1,1,
,none,transxion,lightgbm,,0,,0.05,,,,,1,2,
,none,transxion,lightgbm,,0,,0.1,,,,,1,0,
,none,transxion,lightgbm,,0,,0.1,,,,,1,1,
,none,transxion,lightgbm,,0,,0.1,,,,,1,2,
,none,transxion,lightgbm,,0,,0.25,,,,,1,0,
,none,transxion,lightgbm,,0,,0.25,,,,,1,1,
,none,transxion,lightgbm,,0,,0.25,,,,,1,2,
,none,transxion,lightgbm,,0,,1.0,,,,,1,0,
,none,transxion,lightgbm,,0,,1.0,,,,,1,1,
,none,transxion,lightgbm,,0,,1.0,,,,,1,2,
0.033333333333333,random_graph,transxion,lightgbm,1.2162361647434961e-08,30,,0.01,0.9666666666666661,0.25031269572423803,0.22098299653818101,0.27603977157582105,1,0,0.05
0.033333333333333,random_graph,transxion,lightgbm,1.178749797029847e-08,30,,0.01,0.9666666666666661,0.236128021029398,0.17444532667071802,0.32924538820526,1,1,0.05
0.033333333333333,random_graph,transxion,lightgbm,1.151301765404492e-08,30,,0.01,0.9666666666666661,0.23752174385040603,0.239082963769453,0.446764847020423,1,2,0.05
0.047297297297297,random_graph,transxion,lightgbm,8.112965298450842e-06,148,,0.05,0.9527027027027021,0.24297045345336202,0.21404233945969903,0.5684000169627661,1,0,0.05
0.081081081081081,random_graph,transxion,lightgbm,1.1085929368100511e-05,148,,0.05,0.9189189189189191,0.22612750283787303,0.21376921592035103,0.44304609997482103,1,1,0.05
0.047297297297297,random_graph,transxion,lightgbm,6.492002615509744e-06,148,,0.05,0.9527027027027021,0.259499495014104,0.24031540899467002,0.6542450020932381,1,2,0.05
0.077702702702702,random_graph,transxion,lightgbm,0.00020811206564400002,296,,0.1,0.922297297297297,0.24922008967182602,0.22958819918678602,0.5976242224053601,1,0,0.05
0.08783783783783701,random_graph,transxion,lightgbm,0.00020778657599300002,296,,0.1,0.9121621621621621,0.23703531654290702,0.21444004717438603,0.5976684512545081,1,1,0.05
0.057432432432432005,random_graph,transxion,lightgbm,0.00023067862049300003,296,,0.1,0.9425675675675671,0.237885719097107,0.19951124126972702,0.5845373717040451,1,2,0.05
0.07027027027027001,random_graph,transxion,lightgbm,0.002112715861986,740,,0.25,0.9297297297297291,0.23673213820857902,0.211232133101826,0.562391161891874,1,0,0.05
0.07027027027027001,random_graph,transxion,lightgbm,0.0025262107463770002,740,,0.25,0.9297297297297291,0.24450057961731403,0.21258422724567003,0.5582684569375811,1,1,0.05
0.077027027027027,random_graph,transxion,lightgbm,0.0024835689437440003,740,,0.25,0.9229729729729731,0.24369005632893803,0.22543850883639802,0.574174808198696,1,2,0.05
0.06554054054054001,random_graph,transxion,lightgbm,0.009940562178573,2960,,1.0,0.9344594594594591,0.24697189418431803,0.21826415749710001,0.56337150999795,1,0,0.05
0.07398648648648601,random_graph,transxion,lightgbm,0.010494427583164,2960,,1.0,0.926013513513513,0.23951462626927003,0.21258475306434302,0.553156247833238,1,1,0.05
0.081756756756756,random_graph,transxion,lightgbm,0.010589324539115002,2960,,1.0,0.918243243243243,0.23787002892063902,0.210748399381558,0.5564979958589901,1,2,0.05
0.033333333333333,adv_no_projection,transxion,lightgbm,1.27275977016931e-08,30,,0.01,0.9666666666666661,0.376280012209456,0.362950518348626,0.517374341547564,1,0,0.02
0.066666666666666,adv_no_projection,transxion,lightgbm,1.136231323843143e-08,30,,0.01,0.9333333333333331,0.40136574359943705,0.35999983058990004,0.378814204868731,1,1,0.02
0.066666666666666,adv_no_projection,transxion,lightgbm,1.159478530225281e-08,30,,0.01,0.9333333333333331,0.40575474916824905,0.39647416772019606,0.519474073654017,1,2,0.02
0.033783783783783,adv_no_projection,transxion,lightgbm,8.35433163859367e-06,148,,0.05,0.9662162162162161,0.401162127124884,0.381076014896779,0.643962538022109,1,0,0.02
0.04054054054054,adv_no_projection,transxion,lightgbm,1.110110300792786e-05,148,,0.05,0.9594594594594591,0.39803063293685503,0.39338367268982405,0.5276491570650741,1,1,0.02
0.027027027027027,adv_no_projection,transxion,lightgbm,6.280095857718558e-06,148,,0.05,0.972972972972973,0.44316936363181403,0.45765031288151903,0.767377014616178,1,2,0.02
