dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,hard_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,typology_projected_v2
amlnet,lightgbm,1,structuring,0.387847586239716,0.3895230980552637,0.6273185289108404,0.3872622693664243,0.3856559322045287,0.5982295483864474,0.3844948254132287
amlnet,xgboost,1,structuring,0.38374086344200636,0.39058735088667573,0.6402217642534977,0.39462540429825005,0.3894144400646647,0.7133239225506282,0.3860173526920647
