dataset,detector,label_fraction,heldout_typology,adv_no_projection,ours,random_feasible,random_graph
amlnet,graphsage_lite,1,,0.8485802878013714,0.8468567606150351,0.8445991953963617,0.8465085484144247
amlnet,lightgbm,1,,0.9720034845218745,0.9723710087338965,0.9721903222999484,0.9727500426800985
transxion,graphsage_lite,1,,0.11982844725610502,0.12209030895689267,0.12932818575239335,0.11993864871900534
transxion,lightgbm,1,,0.251642724045191,0.24304154515636067,0.254171246733896,0.2651998718311433
