dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,typology_projected_v2
amlnet,lightgbm,1,,0.9737946735302577,0.975474526750452,0.9750253199867011,0.9722182467315778,0.9755896402763624
amlnet,xgboost,1,,0.9762183534968033,0.9740091581527465,0.973573402920438,0.9729386423147104,0.9719651031669798
transxion,lightgbm,1,,0.26801526063477105,0.26356715503065103,0.26905773136371103,0.2718537469908357,0.26762586748804634
transxion,xgboost,1,,0.24117703650474434,0.242881740764609,0.24206724169110136,0.24212613478480902,0.23485212022219035
