acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate
0.9500000000000001,hard_projected_v2,transxion,lightgbm,6.3003733397064945,0.21771317226203102,2960,,1,0.0,0.0,0.0,0.49017701521798807,1,0,0.0
0.9500000000000001,hard_projected_v2,transxion,lightgbm,6.318869030324024,0.21763511245927303,2960,,1,0.0,0.0,0.0,0.490562623028002,1,1,0.0
0.024324324324324003,v2_no_ledger,transxion,lightgbm,1.187384468356683,0.048561573754573005,2960,,1,0.975675675675675,0.479636523959431,0.49456146436861104,0.7122281422911011,1,0,0.02
0.9500000000000001,hard_projected_v2,transxion,lightgbm,6.269987047873813,0.22870801863168003,2960,,1,0.0,0.0,0.0,0.5017054940859721,1,2,0.0
0.02331081081081,v2_no_ledger,transxion,lightgbm,1.299815141624278,0.047130636219946,2960,,1,0.9766891891891891,0.48184550717727204,0.499155309096577,0.7342603174753031,1,1,0.02
0.028378378378378002,v2_no_ledger,transxion,lightgbm,1.368318096712066,0.04818780323826,2960,,1,0.971621621621621,0.491643771589621,0.513833327894314,0.7623807799041641,1,2,0.02
0.9500000000000001,v2_no_hard,transxion,lightgbm,0.036773961577412,0.015433014990601,2960,,1,0.0,0.0,0.0,0.5345811241018731,1,0,0.0
0.9500000000000001,v2_no_hard,transxion,lightgbm,0.033981111612952,0.015883489857688,2960,,1,0.0,0.0,0.0,0.541277702166695,1,1,0.0
0.9500000000000001,v2_no_hard,transxion,lightgbm,0.039417507672075004,0.019467564226611,2960,,1,0.0,0.0,0.0,0.5397402299214631,1,2,0.0
1.0,v2_no_profile,transxion,lightgbm,3.103246749055521,0.034485672919319005,2960,,1,0.0,0.0,0.0,0.6632954861472581,1,0,0.0
1.0,v2_no_profile,transxion,lightgbm,3.099883683280051,0.034935583827725006,2960,,1,0.0,0.0,0.0,0.683620896145372,1,1,0.0
1.0,v2_no_profile,transxion,lightgbm,3.082328228747733,0.034850274572161,2960,,1,0.0,0.0,0.0,0.711601817156566,1,2,0.0
0.9500000000000001,v2_no_temporal,transxion,lightgbm,2.434060003119698,0.029691752981799,2960,,1,0.0,0.0,0.0,0.594148267696986,1,0,0.08
0.9500000000000001,v2_no_temporal,transxion,lightgbm,2.465115832868675,0.031407059343182005,2960,,1,0.0,0.0,0.0,0.557202935807342,1,1,0.08
0.9500000000000001,v2_no_temporal,transxion,lightgbm,2.463570192309833,0.030703725830873003,2960,,1,0.0,0.0,0.0,0.5758598008361321,1,2,0.08
0.9500000000000001,v2_amount_only,transxion,lightgbm,0.34787954182449704,0.016266361970949002,2960,,1,0.0,0.0,0.0,0.369696247591135,1,0,0.0
0.9500000000000001,v2_amount_only,transxion,lightgbm,0.37082964384868805,0.016324687346280002,2960,,1,0.0,0.0,0.0,0.37880821518426105,1,1,0.0
0.9500000000000001,v2_amount_only,transxion,lightgbm,0.392157628107255,0.016281691667874,2960,,1,0.0,0.0,0.0,0.408258126632466,1,2,0.0
0.9506756756756751,v2_topology_only,transxion,lightgbm,1.7243641152858542,0.081049500927311,2960,,1,0.0,0.0,0.0,0.47072918775868805,1,0,0.0
0.954729729729729,v2_topology_only,transxion,lightgbm,1.567212187000481,0.06882606271802301,2960,,1,0.0,0.0,0.0,0.47091576227838006,1,1,0.0
0.953378378378378,v2_topology_only,transxion,lightgbm,1.72735822420003,0.093273093531584,2960,,1,0.0,0.0,0.0,0.46951960292185,1,2,0.0
0.9500000000000001,random_feasible_v2,transxion,lightgbm,0.028763401222628004,0.008789541905305,2960,,1,0.0,0.0,0.0,0.5114984662598251,1,0,0.0
0.9500000000000001,random_feasible_v2,transxion,lightgbm,0.026499127369085003,0.008905332502084001,2960,,1,0.0,0.0,0.0,0.5160541646744661,1,1,0.0
0.9500000000000001,random_feasible_v2,transxion,lightgbm,0.030786382606232003,0.010823462050109001,2960,,1,0.0,0.0,0.0,0.515273337765841,1,2,0.0
0.9500000000000001,hard_projected_v2,transxion,xgboost,4.827440459284189,0.21560273230943403,2960,,1,0.0,0.0,0.0,0.521739851919248,1,0,0.0
0.9500000000000001,hard_projected_v2,transxion,xgboost,4.7004544819420495,0.22015424926993002,2960,,1,0.0,0.0,0.0,0.509946845198433,1,1,0.0
0.9500000000000001,hard_projected_v2,transxion,xgboost,4.763632691607336,0.21613959467520802,2960,,1,0.0,0.0,0.0,0.516468072626577,1,2,0.0
0.032432432432432004,v2_no_ledger,transxion,xgboost,1.6246736753392081,0.041627589889296004,2960,,1,0.9675675675675671,0.44912027738798505,0.44629136505161304,0.7623376984859641,1,0,0.02
0.031756756756756,v2_no_ledger,transxion,xgboost,1.6690856310776772,0.045164245795744004,2960,,1,0.9682432432432431,0.45114039101580306,0.45271837101296103,0.7435875923020611,1,1,0.02
0.032770270270270005,v2_no_ledger,transxion,xgboost,1.692575288138608,0.044243915319954,2960,,1,0.9672297297297291,0.45024356342578103,0.44796200466720504,0.7372277541446891,1,2,0.02
0.9500000000000001,v2_no_hard,transxion,xgboost,0.061860243970211004,0.015433014990601,2960,,1,0.0,0.0,0.0,0.5345811241018731,1,0,0.0
0.9500000000000001,v2_no_hard,transxion,xgboost,0.056542348586064,0.015883489857688,2960,,1,0.0,0.0,0.0,0.541277702166695,1,1,0.0
0.9500000000000001,v2_no_hard,transxion,xgboost,0.067682298615985,0.019467564226611,2960,,1,0.0,0.0,0.0,0.5397402299214631,1,2,0.0
