augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.5660630432999231,0.999715872104154,0.000168653086143,8,amlnet,lightgbm,0.000176020506563,0.49315068493150604,structuring,1,0.519543218956768,0.72,0.375,1.0,1.0,0.75,0,48,757,653915,14.511536359786987,0.5521113593781141,0.990338242591517,0.000268875417521,0.000275897968547,0.527131782945736,0.555843235344057,85,0.772727272727272,0.42352941176470504,0.905882352941176,0.929411764705882
none,0.594120795292272,0.999786425426,0.000160718163595,8,amlnet,lightgbm,0.00017026836767000003,0.49315068493150604,structuring,1,0.519543218956768,0.72,0.375,1.0,1.0,0.75,3,48,757,653915,16.189667224884033,0.567287127964628,0.9904032164776371,0.000270714498396,0.000275250045612,0.53125,0.5622745500339601,85,0.7906976744186041,0.517647058823529,0.917647058823529,0.929411764705882
none,0.665680416422742,0.9998209841087491,0.000164690584595,8,amlnet,lightgbm,0.00017519932242700002,0.486486486486486,structuring,1,0.5094489679196701,0.6923076923076921,0.375,1.0,1.0,0.75,2,48,757,653915,16.16377067565918,0.590188125401653,0.9923350274111961,0.000264259527577,0.000273187067274,0.535433070866141,0.5689341473324541,85,0.8095238095238091,0.6000000000000001,0.905882352941176,0.929411764705882
none,0.6502121270098561,0.9998065288148571,0.000164510835031,8,amlnet,lightgbm,0.00017523438106300003,0.486486486486486,structuring,1,0.5094489679196701,0.6923076923076921,0.375,1.0,1.0,0.75,1,48,757,653915,17.380608081817627,0.586139922879719,0.9930730377832331,0.00027053445980200003,0.000280755207726,0.523076923076923,0.549627449748176,85,0.7555555555555551,0.552941176470588,0.917647058823529,0.917647058823529
none,0.616049969262208,0.999772257323377,0.00016351183612700002,8,amlnet,lightgbm,0.00017061475193100003,0.5,structuring,1,0.53026185729376,0.75,0.375,1.0,1.0,0.75,4,48,757,653915,15.424866437911987,0.575554441734759,0.991943346230811,0.000267374708324,0.00027834405468100005,0.53125,0.5622745500339601,85,0.7906976744186041,0.5647058823529411,0.917647058823529,0.917647058823529
random_feasible_v2,0.618358591451861,0.99979408385985,0.00016140293131700002,8,amlnet,lightgbm,0.00017167265098200001,0.49315068493150604,structuring,1,0.519543218956768,0.72,0.375,1.0,1.0,0.75,1,48,1325,654483,16.78032422065735,0.5682477915027141,0.9905602457115611,0.00026384833975200004,0.00027297426532200004,0.539682539682539,0.575835862959546,85,0.829268292682926,0.517647058823529,0.905882352941176,0.917647058823529
random_feasible_v2,0.592193612079796,0.999752632586636,0.00016876181786800002,8,amlnet,lightgbm,0.00018409928567300003,0.48,structuring,1,0.499920739615665,0.6666666666666661,0.375,1.0,1.0,0.75,0,48,1325,654483,17.18968677520752,0.575979417881974,0.9910411173346221,0.00027713494071100004,0.00029133998053100003,0.511627906976744,0.5394866412928481,85,0.75,0.505882352941176,0.917647058823529,0.929411764705882
random_feasible_v2,0.5841364416276851,0.99976287574191,0.000173773710812,8,amlnet,lightgbm,0.00018675425793200003,0.47368421052631504,structuring,1,0.49090753259005104,0.642857142857142,0.375,1.0,1.0,0.75,2,48,1325,654483,17.96648406982422,0.5649958654674191,0.992762871261974,0.000273702850006,0.00028424945276000005,0.523076923076923,0.549627449748176,85,0.7555555555555551,0.48235294117647004,0.905882352941176,0.929411764705882
random_feasible_v2,0.606702367003227,0.999774171931839,0.00017217258550000002,8,amlnet,lightgbm,0.000183622544715,0.48,structuring,1,0.499920739615665,0.6666666666666661,0.375,1.0,1.0,0.75,3,48,1325,654483,16.039625644683838,0.5612948484789401,0.9898344517274291,0.000274507661171,0.00028699799295800005,0.523076923076923,0.549627449748176,85,0.7555555555555551,0.49411764705882305,0.894117647058823,0.929411764705882
random_feasible_v2,0.561478310215,0.999747463143787,0.00017839309924300002,8,amlnet,lightgbm,0.00019192519351300002,0.461538461538461,structuring,1,0.47425228835847005,0.6000000000000001,0.375,1.0,1.0,0.75,4,48,1325,654483,16.636454343795776,0.5581484213697541,0.993248499708644,0.000284699330267,0.000294468190536,0.5074626865671641,0.5266967809345321,85,0.693877551020408,0.48235294117647004,0.917647058823529,0.917647058823529
