dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,hard_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,typology_projected_v2
amlnet,lightgbm,1,structuring,0.3873665251576296,0.39031793071903065,0.6184252702574002,0.3862501589343694,0.3856733098256892,0.5925738644755139,0.3858806183242306
amlnet,xgboost,1,structuring,0.3859626242315156,0.38735123387876824,0.6247515247558288,0.39303200552693085,0.3921909211865252,0.7088258694633041,0.385659974600263
