augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,eval_subset,f1,heldout_train_positives,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr
none,0.014371641911880001,0.518989587053516,0.005834272927847,2,amlnet,pyg_sage,0.011694297490783,all,0.046449900464499004,0,layering,1,0.052319992913468005,0.030224525043177002,0.008595988538681001,0.100286532951289,0.249283667621776,0.2,0,349,220,60000,8.254376888275146,0.030036487523364002,0.923457208138557,0.005054405705362,0.011518189345927,0.043872919818456,0.050247199757462,296,0.028265107212475,0.016891891891891,0.108108108108108,0.37162162162162105
random_feasible_v2,0.013710165847141001,0.519205311310398,0.0062092413012630005,2,amlnet,pyg_sage,0.012860292299097001,all,0.043395022335673,0,layering,1,0.049334914658172004,0.02791461412151,0.005730659025787,0.08022922636103101,0.24641833810888203,0.2,0,349,264,60044,5.637470245361328,0.029223855000801,0.9245189003788481,0.005317334639211,0.012701768983684001,0.039793662490788,0.04575039086236601,296,0.025447690857681,0.013513513513513,0.10135135135135101,0.33783783783783705
none,0.10549230137831,0.585839432924792,0.015726904177305,2,amlnet,pyg_gat,0.10640101827879901,all,0.153945666235446,0,layering,1,0.181793984940156,0.09941520467836201,0.17191977077363801,0.346704871060171,0.41833810888252104,0.2,0,349,220,60000,14.54727840423584,0.18971899955529,0.98143912921026,0.017682621537263,0.117995660285789,0.21146496815286603,0.268469577517431,296,0.130298273155416,0.253378378378378,0.5540540540540541,0.763513513513513
random_feasible_v2,0.09178923462501401,0.5854348437893441,0.015646242688698003,2,amlnet,pyg_gat,0.105115085426754,all,0.14180024660912402,0,layering,1,0.17010790293462802,0.090337784760408,0.151862464183381,0.326647564469914,0.39828080229226304,0.2,0,349,264,60044,15.83356237411499,0.17275144113353702,0.9815192641020021,0.017383079615058,0.116426260731933,0.20235878336436902,0.25936020533291804,296,0.123954372623574,0.21283783783783702,0.5371621621621621,0.7432432432432431
