dataset,detector,label_fraction,heldout_typology,adv_no_projection_v2,boundary_projected_v2,hard_projected_v2,none
amlnet,lightgbm,1,layering,0.9487172179320204,0.950050422834079,0.9506809479431081,0.9312815980235888
amlnet,pyg_sage,1,layering,0.2991525030032797,0.2764916602696534,0.271173363549341,0.354755222724821
amlnet,xgboost,1,layering,0.949588317646367,0.9489046613841987,0.9490618640421505,0.9273820493622225
