dataset,detector,label_fraction,heldout_typology,boundary_projected_v2,hard_projected_v2,none,random_feasible_v2
ellipticpp,lightgbm,1,,0.549223708639297,0.5495438054292384,0.5543638530130517,0.5532925259594927
ellipticpp,pyg_sage,1,,0.08927737814672866,0.08908329104274566,0.08962601888751469,0.089522107823794
ellipticpp,xgboost,1,,0.558109417463419,0.558254912957012,0.5502892302791631,0.5534951896447494
