dataset,detector,augmentation,label_fraction,heldout_typology,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,lightgbm,adv_no_projection_v2,0.01,,0.6463124168619053,0.13680255850676842,0.9949455009036017,0.002521124710680705,0.9284552845528454,0.03220374361030611,0.6195121951219508,0.11615493560771364,0.0018758881788013334,3.894166417309839e-06,10.51726762453715,1.2275306606048697
amlnet,lightgbm,adv_no_projection_v2,0.05,,0.7040898911877481,0.14437378714426122,0.9944424520063695,0.0046235136882555585,0.9463414634146338,0.0390243902439025,0.6658536585365847,0.1273208110842752,0.0018344005378473334,3.3717977004551937e-05,14.184863249460856,0.44372163548073984
amlnet,lightgbm,adv_no_projection_v2,0.1,,0.7621289306068267,0.06086239293190661,0.9962778068860527,0.003729590547867963,0.9634146341463411,0.03388400973036503,0.7121951219512191,0.0465336195813143,0.0017368912320483334,9.110708834991424e-05,14.030345360438028,1.5032089923652994
amlnet,lightgbm,adv_no_projection_v2,0.25,,0.8059939388292591,0.03870773669179399,0.9928078713756694,0.004948415421021865,0.9780487804878047,0.008794027501131459,0.7642276422764224,0.06133229012208852,0.0014625193330213334,0.00024591514337787276,18.10134704907735,1.0370054901756343
amlnet,lightgbm,adv_no_projection_v2,1.0,,0.9778953786884234,0.0009395842698886116,0.9997606272444112,0.00014029972976908252,0.9959349593495933,0.0014081713882674453,0.9487804878048781,0.0,0.000473938667984,3.361126172058403e-05,18.31560269991557,1.592503919173155
amlnet,lightgbm,boundary_projected_v2,0.01,,0.596412689588099,0.16775897141591103,0.9811428213857091,0.007017700269090515,0.8975609756097557,0.0562564029008328,0.5999999999999998,0.1241988005509659,0.0018749631192270001,3.69462710572644e-06,10.883591334025065,1.1371822147065322
amlnet,lightgbm,boundary_projected_v2,0.05,,0.6892852348045725,0.19594654380951226,0.9891401726883434,0.009043026168561957,0.9536585365853654,0.004224514164801679,0.676422764227642,0.14636856117681743,0.0018432241114016666,1.8933417396522212e-05,15.613063732782999,0.6875405425124611
amlnet,lightgbm,boundary_projected_v2,0.1,,0.7875168068317097,0.12235596847083909,0.9947129945877284,0.004868212711653663,0.9544715447154467,0.03669360681755044,0.7520325203252031,0.1045181952722609,0.0016755692300266668,0.00012841117992826276,17.693443298339844,0.4068550748180375
amlnet,lightgbm,boundary_projected_v2,0.25,,0.7695502319077021,0.09315286238941066,0.9974894570450581,0.0018662777378691427,0.9707317073170724,0.017073170731707474,0.744715447154471,0.10045504241351874,0.0014233332175703332,2.4195423492400573e-05,19.34375516573588,1.6494229705725518
amlnet,lightgbm,boundary_projected_v2,1.0,,0.977202770285956,0.001547894566995429,0.9996836207580911,5.654195923682617e-05,0.990243902439024,0.0,0.9512195121951214,0.0024390243902434466,0.00034824763198566664,7.152181132925174e-06,18.87726577123006,1.4759293710840153
amlnet,lightgbm,hard_projected_v2,0.01,,0.5640739550618273,0.06482218989663939,0.9851224032539001,0.007444352622286309,0.920325203252032,0.012516101071821622,0.5439024390243901,0.04059345604169074,0.00187326611383,7.5823722538759384e-06,10.092322508494059,1.13756432303095
amlnet,lightgbm,hard_projected_v2,0.05,,0.6468952793912731,0.16628649543962604,0.9904224055887884,0.008170245980977065,0.9471544715447151,0.018628356483559923,0.6487804878048777,0.12294715279149791,0.0018489512124376668,1.0532062759132293e-05,14.345320383707682,2.145077182307691
amlnet,lightgbm,hard_projected_v2,0.1,,0.7712142071253955,0.12096697419760999,0.9928967577740103,0.0034732439121415524,0.9341463414634145,0.057666294719691896,0.7341463414634144,0.12045422658405627,0.0017293825980003333,7.86224187536396e-05,16.20774443944295,1.102158311640569
amlnet,lightgbm,hard_projected_v2,0.25,,0.753184684430764,0.15103679929415453,0.9915115488248505,0.011785279239486045,0.9422764227642272,0.07057734768849001,0.7300813008130077,0.14934585370022824,0.0013698109775946668,8.044732798196228e-05,18.40656312306722,0.514341855303052
amlnet,lightgbm,hard_projected_v2,1.0,,0.9770372935365407,0.0006912483838300366,0.9996622331806311,0.00011185423211711771,0.9910569105691054,0.0014081713882674774,0.949593495934959,0.0014081713882667564,0.0003499739314816667,1.4993649493085789e-05,18.57463224728902,0.2904790570552789
amlnet,lightgbm,none,0.01,,0.6513050156281558,0.12496814527552637,0.9862795515146418,0.0050416143588446136,0.8975609756097557,0.09988095233874791,0.6308943089430891,0.14522610186293713,0.0018759572470480003,3.7480849744160707e-06,10.658252318700155,0.31220174723389243
amlnet,lightgbm,none,0.05,,0.8472543353441274,0.05970069799100964,0.9920061715769365,0.006248731517895557,0.949593495934959,0.021860698633737536,0.8008130081300809,0.03912588427810078,0.0018213442194800003,4.2761918253988884e-05,11.769481261571249,1.1194660186278258
amlnet,lightgbm,none,0.1,,0.8648592657205357,0.03464202883198412,0.9949315065166732,0.001873764639637984,0.9626016260162601,0.014902685186848303,0.8252032520325198,0.03520428470668467,0.0017410187526900002,7.415087778126038e-05,14.418589035669962,0.9751970572311933
amlnet,lightgbm,none,0.25,,0.8976241033028524,0.025336583198983856,0.998032525928935,0.0003051541647714543,0.9772357723577231,0.008565572156790687,0.8691056910569105,0.02847850388314971,0.0011779154893480001,0.0001581592708874367,16.774144252141316,0.6873237712070918
amlnet,lightgbm,none,1.0,,0.9713560939888867,0.0002486505432806228,0.9994297231289367,6.235788784033631e-05,0.9886178861788614,0.0014081713882674453,0.951219512195121,0.0,0.0002416341654216667,2.678186578102382e-06,14.90434193611145,1.2106795214133261
