dataset,augmentation,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,temporal_violation_rate,temporal_violation_rate,acceptance_rate,acceptance_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
amlnet,curriculum_projected_v2,3.408566841062721,0.4284491305262127,0.0,0.0,0.0,0.0,1.9597926589830563,0.09265737434430908,0.0,0.0,0.9454545454545451,0.0
amlnet,none,,,,,,,,,,,,
amlnet,plausible_hard_projected_v2,4.915189955482877,0.6018463219993946,0.0,0.0,0.0,0.0,1.514657404051305,0.08719315958535727,0.0,0.0,0.9454545454545451,0.0
amlnet,plausible_typology_projected_v2,5.964807699783465,0.7087569202685858,0.0,0.0,0.0,0.0,1.5160015263930933,0.09460126995276921,0.0,0.0,0.9454545454545451,0.0
amlnet,random_feasible_v2,0.026926140079219812,0.03357706974244937,0.0,0.0,0.0,0.0,2.7561847309536223,0.0699773596960162,0.0,0.0,0.9454545454545451,0.0
amlnet,smote_repaired_v2,0.17478272333670103,0.10501388789867849,0.0,0.0,0.0,0.0,2.876973692405257,0.047108003187545176,0.0,0.0,0.9454545454545451,0.0
amlnet,typology_projected_v2,7.796747822624515,0.6067712394984257,0.0,0.0,0.0,0.0,1.5638831030746578,0.07378693685946959,0.0,0.0,0.9454545454545451,0.0
