dataset,detector,label_fraction,heldout_typology,curriculum_projected_v2,none,plausible_hard_projected_v2,plausible_typology_projected_v2,random_feasible_v2,smote_repaired_v2,typology_projected_v2
amlnet,lightgbm,1,layering,0.9456381838852268,0.9277654800246811,0.9509958365664082,0.9448211230882327,0.9303922942017019,0.925839170987192,0.9491232285140139
amlnet,xgboost,1,layering,0.9403009886693873,0.9225424723555319,0.9430420825474032,0.9415134043307614,0.9278647609032984,0.9252467895487919,0.9410737068741575
