run_name,dataset,detector,augmentation,label_fraction,heldout_typology,detector_hardness,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,profile_drift,acceptance_rate,acceptance_rate,acceptance_rate,categorical_fractionality_rate,categorical_fractionality_rate,categorical_fractionality_rate,negative_feature_rate,negative_feature_rate,negative_feature_rate
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_v2_heldout_structuring,amlnet,lightgbm,boundary_projected_v2,1.0,structuring,10.674232366221233,0.28584792114169977,3,0.0,0.0,3,0.0,0.0,3,0.452549688674762,0.08638311388475355,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,lightgbm,hard_projected_v2,1.0,structuring,10.698234126693412,0.3139914152919975,3,0.0,0.0,3,0.0,0.0,3,0.45728243413344033,0.0862321871072963,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,lightgbm,none,1.0,structuring,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,adv_no_projection_v2,1.0,structuring,3.7353126839906197,0.35258834822082846,3,0.966534566270365,0.004035733769225638,3,0.45715543466117264,0.005813344601638676,3,0.5303150673282527,0.01830032118797283,3,0.033465433729634,0.004035733769225651,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,boundary_projected_v2,1.0,structuring,10.674232366221233,0.28584792114169977,3,0.0,0.0,3,0.0,0.0,3,0.452549688674762,0.08638311388475355,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,hard_projected_v2,1.0,structuring,10.698234126693412,0.3139914152919975,3,0.0,0.0,3,0.0,0.0,3,0.45728243413344033,0.0862321871072963,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,none,1.0,structuring,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_structuring,amlnet,xgboost,adv_no_projection_v2,1.0,structuring,4.410516549933357,0.08449479893880808,3,0.9674152355790393,0.0007626819936455673,3,0.4440220886621553,0.004938528721518415,3,0.5315234620373374,0.009036817722179988,3,0.032584764420959665,0.0007626819936455383,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,xgboost,boundary_projected_v2,1.0,structuring,9.260112715319602,0.11244421597134069,3,0.0,0.0,3,0.0,0.0,3,0.4089340347494907,0.011463378320912624,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,xgboost,hard_projected_v2,1.0,structuring,9.27257250478423,0.11265913694709548,3,0.0,0.0,3,0.0,0.0,3,0.41506534522210137,0.009439669489671032,3,0.949801849405548,0.0,3,,,0,,,0
