acceptance_rate,augmentation,dataset,detector,detector_hardness,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate
,none,transxion,logistic,,0,,1,,,,,1,0,
,none,transxion,logistic,,0,,1,,,,,1,1,
,none,transxion,logistic,,0,,1,,,,,1,2,
0.06554054054054001,random_graph,transxion,logistic,0.009940562178573,2960,,1,0.9344594594594591,0.24697189418431803,0.21826415749710001,0.56337150999795,1,0,0.05
0.07398648648648601,random_graph,transxion,logistic,0.010494427583164,2960,,1,0.926013513513513,0.23951462626927003,0.21258475306434302,0.553156247833238,1,1,0.05
0.081756756756756,random_graph,transxion,logistic,0.010589324539115002,2960,,1,0.918243243243243,0.23787002892063902,0.210748399381558,0.5564979958589901,1,2,0.05
0.03581081081081,adv_no_projection,transxion,logistic,0.034626053244592,2960,,1,0.964189189189189,0.40670572285675305,0.38566071054873,0.6401379622544351,1,0,0.02
0.051013513513513006,adv_no_projection,transxion,logistic,0.037202551151739004,2960,,1,0.9489864864864861,0.402162753895344,0.39123948172619305,0.6850806850747001,1,1,0.02
0.038851351351351,adv_no_projection,transxion,logistic,0.039549093082277005,2960,,1,0.9611486486486481,0.40071199902679605,0.385508816186904,0.644903916084128,1,2,0.02
0.9500000000000001,random_feasible,transxion,logistic,0.009940562178573,2960,,1,0.0,0.0,0.0,0.5157655662513501,1,0,0.0
0.9500000000000001,random_feasible,transxion,logistic,0.010494427583164,2960,,1,0.0,0.0,0.0,0.5082316196351291,1,1,0.0
0.9500000000000001,random_feasible,transxion,logistic,0.010589324539115002,2960,,1,0.0,0.0,0.0,0.5122088023526871,1,2,0.0
0.9500000000000001,ours,transxion,logistic,0.034626053244592,2960,,1,0.0,0.0,0.0,0.512762629136032,1,0,0.0
0.9500000000000001,ours,transxion,logistic,0.037202551151739004,2960,,1,0.0,0.0,0.0,0.546131158261574,1,1,0.0
0.9500000000000001,ours,transxion,logistic,0.039549093082277005,2960,,1,0.0,0.0,0.0,0.5233238424408131,1,2,0.0
,none,transxion,random_forest,,0,,1,,,,,1,0,
,none,transxion,random_forest,,0,,1,,,,,1,1,
,none,transxion,random_forest,,0,,1,,,,,1,2,
0.06554054054054001,random_graph,transxion,random_forest,0.009940562178573,2960,,1,0.9344594594594591,0.24697189418431803,0.21826415749710001,0.56337150999795,1,0,0.05
0.07398648648648601,random_graph,transxion,random_forest,0.010494427583164,2960,,1,0.926013513513513,0.23951462626927003,0.21258475306434302,0.553156247833238,1,1,0.05
0.081756756756756,random_graph,transxion,random_forest,0.010589324539115002,2960,,1,0.918243243243243,0.23787002892063902,0.210748399381558,0.5564979958589901,1,2,0.05
