dataset,detector,augmentation,label_fraction,auprc,auprc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,ece,ece,training_seconds,training_seconds
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
transxion,lightgbm,adv_no_projection,1,0.26530904498984903,,0.945806886462018,,0.7527716186252771,,0.349223946784922,,0.012720120580955,,11.290833473205566,
transxion,lightgbm,none,1,0.260568138862235,,0.9418471333414641,,0.751662971175166,,0.356984478935698,,0.012164612579176,,10.169210195541382,
transxion,lightgbm,ours,1,0.260713344401704,,0.940930127522496,,0.7461197339246121,,0.348115299334811,,0.013172579959498,,9.953348875045776,
transxion,lightgbm,random_feasible,1,0.258049852331374,,0.9403588386683921,,0.747228381374722,,0.348115299334811,,0.011777159605244001,,10.409956455230713,
transxion,lightgbm,random_graph,1,0.266491921634364,,0.9392141423808191,,0.753880266075388,,0.35920177383592,,0.011369938196776001,,8.963104486465454,
transxion,logistic,adv_no_projection,1,0.044009007917670005,,0.7498902691347921,,0.42682926829268203,,0.08980044345898,,0.42988283222164103,,1.622152328491211,
transxion,logistic,none,1,0.020873114780742,,0.814511249311883,,0.23725055432372502,,0.034368070953436004,,0.501545631107437,,1.5485303401947021,
transxion,logistic,ours,1,0.053151228308191,,0.752296387002608,,0.429046563192904,,0.123059866962305,,0.554187086485476,,1.589818954467773,
transxion,logistic,random_feasible,1,0.05906455832512301,,0.7395859352823411,,0.46119733924611905,,0.11640798226164001,,0.5762652422104071,,1.610513687133789,
transxion,logistic,random_graph,1,0.11264650905237901,,0.778291778242125,,0.5055432372505541,,0.211751662971175,,0.639774588352031,,1.652470350265503,
transxion,topology_lr,adv_no_projection,1,0.044118461503415,,0.7915646513889381,,0.467849223946784,,0.059866962305986,,0.23269478541462302,,1.109660863876342,
transxion,topology_lr,none,1,0.05374171343496,,0.8032278064919811,,0.48004434589800404,,0.097560975609756,,0.349042685356303,,1.072645425796508,
transxion,topology_lr,ours,1,0.033940121403956004,,0.7133189352040631,,0.417960088691796,,0.036585365853658,,0.303998035766039,,1.016849279403686,
transxion,topology_lr,random_feasible,1,0.040059493603716,,0.7238758858209171,,0.44345898004434503,,0.05210643015521001,,0.26036646039850103,,1.161084175109863,
transxion,topology_lr,random_graph,1,0.068461374298086,,0.7294268679818481,,0.43791574279379103,,0.174057649667405,,0.207290034572119,,1.168840169906616,
