acceptance_rate,augmentation,dataset,detector,detector_hardness,generated,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate
,none,transxion,logistic,,0,1,,,,,0.5,0,
0.06486486486486401,random_graph,transxion,logistic,0.006740077271028,1480,1,0.935135135135135,0.23765820200853502,0.20753755937657803,0.47944734654505206,0.5,0,0.05
0.04054054054054,adv_no_projection,transxion,logistic,0.034452160885227005,1480,1,0.9594594594594591,0.40162697037688105,0.380851443589712,0.528062479373514,0.5,0,0.02
0.9500000000000001,random_feasible,transxion,logistic,0.006740077271028,1480,1,0.0,0.0,0.0,0.42211322304855403,0.5,0,0.0
0.9500000000000001,ours,transxion,logistic,0.034452160885227005,1480,1,0.0,0.0,0.0,0.35075368118523703,0.5,0,0.0
,none,transxion,lightgbm,,0,1,,,,,0.5,0,
0.06486486486486401,random_graph,transxion,lightgbm,0.006740077271028,1480,1,0.935135135135135,0.23765820200853502,0.20753755937657803,0.47944734654505206,0.5,0,0.05
0.04054054054054,adv_no_projection,transxion,lightgbm,0.034452160885227005,1480,1,0.9594594594594591,0.40162697037688105,0.380851443589712,0.528062479373514,0.5,0,0.02
0.9500000000000001,random_feasible,transxion,lightgbm,0.006740077271028,1480,1,0.0,0.0,0.0,0.42211322304855403,0.5,0,0.0
0.9500000000000001,ours,transxion,lightgbm,0.034452160885227005,1480,1,0.0,0.0,0.0,0.35075368118523703,0.5,0,0.0
,none,transxion,topology_lr,,0,1,,,,,0.5,0,
0.06486486486486401,random_graph,transxion,topology_lr,0.006740077271028,1480,1,0.935135135135135,0.23765820200853502,0.20753755937657803,0.47944734654505206,0.5,0,0.05
0.04054054054054,adv_no_projection,transxion,topology_lr,0.034452160885227005,1480,1,0.9594594594594591,0.40162697037688105,0.380851443589712,0.528062479373514,0.5,0,0.02
0.9500000000000001,random_feasible,transxion,topology_lr,0.006740077271028,1480,1,0.0,0.0,0.0,0.42211322304855403,0.5,0,0.0
0.9500000000000001,ours,transxion,topology_lr,0.034452160885227005,1480,1,0.0,0.0,0.0,0.35075368118523703,0.5,0,0.0
