dataset,detector,label_fraction,heldout_typology,adv_no_projection,ours,random_feasible,random_graph
amlnet,graphsage_lite,1,,0.95721441488651,0.824295305317968,0.8907240054027258,0.80773464459843
amlnet,lightgbm,1,,0.97257677117017,0.9716314645936371,0.9708012085794805,0.9699560412094897
transxion,graphsage_lite,1,,0.11180161163928969,0.11496537146831536,0.11377021398172234,0.12048249591927235
transxion,lightgbm,1,,0.2576677786413377,0.25226812735430865,0.25417317973160564,0.2637883053603667
